#taxa	84B.R1.48H	84B.R2.48H	73B.R1.48H	73B.R2.48H	66A.R1.48H	66A.R2.48H	67A.R2.48H	92A.R1.48H	92A.R2.48H	92B.R1.48H	92B.R2.48H	66B.R1.48H	66B.R2.48H	276B.R1.48H	276B.R2.48H	116A.R1.48H	116A.R2.48H	176A.R1.48H	176A.R2.48H	276A.R1.48H	276A.R2.48H	84A.R1.48H	84A.R2.48H	73A.R1.48H	73A.R2.48H	67B.R1.48H	67B.R2.48H	176B.R1.48H	176B.R2.48H	84B.S1.48H	84B.S2.48H	73B.S1.48H	73B.S2.48H	66A.S1.48H	66A.S2.48H	67A.S1.48H	67A.S2.48H	92A.S1.48H	92A.S2.48H	92B.S1.48H	92B.S2.48H	66B.S1.48H	66B.S2.48H	276B.S1.48H	276B.S2.48H	116A.S1.48H	116A.S2.48H	176A.S1.48H	176A.S2.48H	276A.S1.48H	276A.S2.48H	84A.S1.48H	84A.S2.48H	73A.S1.48H	73A.S2.48H	67B.S1.48H	67B.S2.48H	176B.S1.48H	176B.S2.48H
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eisenbergiella	35	289	0	0	32	0	0	0	0	0	0	0	0	17	0	0	0	0	0	16	0	127	13	17	0	0	0	0	0	115	12	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	13	0	98	50	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Epulopiscium	0	0	0	0	427	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Eubacterium	242	139	295	132	358	21	704	777	255	379	76	0	0	1197	20	282	135	75	0	695	0	510	1203	34	899	261	115	101	0	291	927	165	2136	362	136	186	226	527	32	47	931	24	0	728	132	235	85	74	209	504	228	597	871	367	338	138	193	77	34
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Fusicatenibacter	82	28	71	47	0	17	185	52	61	46	76	26	0	0	0	323	466	0	0	0	0	17	22	15	95	47	34	42	0	92	1072	1759	2359	5401	349	366	93	1488	289	63	313	31	0	0	0	297	286	176	77	0	0	95	624	687	2753	523	260	26	880
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Hungatella	31	1582	0	0	0	0	0	32	0	15	0	0	0	202	0	0	0	230	0	36	0	684	386	0	27	0	0	595	0	1459	0	0	0	0	0	0	0	0	0	0	29	0	0	75	0	0	0	90	0	39	0	543	410	65	0	0	0	268	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium	580	3153	6309	0	2796	0	502	719	186	921	278	532	20	4791	24	2863	1196	1084	0	2227	29	2853	2798	2354	1015	3241	39	2022	0	1867	187	3119	0	160	1591	176	343	603	152	228	911	2743	29	3162	179	1281	390	638	72	3172	38	2232	680	2971	1256	600	630	436	63
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium-Roseburia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospira	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lactonifactor	0	53	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	39	22	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia	0	0	0	0	0	0	19	0	0	0	0	0	0	38	0	0	12	93	0	0	0	0	0	0	0	17	0	141	0	0	0	0	0	0	12	19	13	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	42	0	0	15	12	55	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA	2182	4456	1633	155	2028	13	995	1007	127	1073	77	538	0	891	0	324	635	1760	69	248	0	2100	2538	1106	1252	1411	117	1721	79	2097	2744	1456	69	3116	741	536	570	657	12	30	1355	998	0	848	52	232	79	7545	2482	388	18	2770	8271	2227	3361	786	836	16892	2040
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	21	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Robinsoniella	0	0	0	0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	17	206	46	0	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	13	332	12	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia	318	38	44	16	0	0	482	91	11	35	13	16	0	0	0	14	0	112	0	63	0	70	58	104	89	11	0	138	0	29	170	179	31	0	0	18	0	29	0	21	48	14	0	19	0	0	0	50	0	54	0	21	35	219	167	0	0	91	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__NA;g__NA	0	811	0	0	27	14	351	0	0	0	0	25	30	21	0	69	83	0	0	11	18	825	11	0	0	13	14	13	0	809	0	0	0	13	0	530	561	0	0	0	0	19	23	0	12	46	46	0	0	0	0	603	0	0	0	27	29	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__NA;g__Sarcina	0	0	0	19	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__NA	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Peptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	41	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Asaccharospora	0	0	0	0	0	0	0	987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Intestinibacter	126	5245	480	139	29	22	1361	3504	281	3829	126	1176	27	282	100	314	32	0	0	165	218	39	78	82	1086	542	0	1128	0	2209	28	849	132	0	17	2041	2218	1217	128	110	3660	1789	41	238	177	59	11	0	0	191	152	21	0	75	1198	11	168	818	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Paeniclostridium	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1129	0	0	0	0	0	53	1166	0	0	0	0	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Paraclostridium-Peptoclostridium	0	28	14	0	24965	13457	30	0	0	0	0	0	0	4479	0	0	0	0	0	0	0	14782	7846	24604	21041	0	0	1889	0	0	0	0	0	14241	16917	177	0	0	0	0	0	14	0	450	13	0	0	0	0	0	0	11233	4890	22464	8398	0	0	330	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptoclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcus	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia	558	1451	471	493	1424	905	809	2232	2454	1307	1826	1558	1076	707	279	895	1299	87	75	332	515	1118	845	327	352	0	0	685	74	1194	314	374	333	688	794	1675	1533	1272	1026	1811	1133	1486	1616	502	354	631	726	105	73	415	296	673	386	348	154	0	18	351	74
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Terrisporobacter	24	985	35	53	17	12	92	101	55	113	104	19	12	202	97	0	0	109	0	108	116	64	29	37	46	0	0	0	0	1787	18	24	46	0	0	129	328	28	23	91	84	21	34	190	131	0	0	24	0	141	106	21	22	26	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__*Soleaferrea	0	110	135	0	58	0	0	11	0	0	0	0	0	36	0	0	0	0	0	0	0	19	12	56	20	28	0	126	0	94	0	111	0	0	32	0	14	13	0	0	0	29	0	25	0	0	0	0	0	0	0	13	0	113	36	0	0	28	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Acetanaerobacterium	0	26	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	13	0	0	0	0	0	48	0	11	0	0	0	0	0	39	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	11	0	14	0	0	0	17	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerofilum	0	19	43	0	16	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	44	0	23	0	26	0	0	0	15	21	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus	40	419	547	0	983	0	0	88	0	32	0	0	0	200	0	92	94	0	0	14	0	156	12	75	0	0	0	24	0	298	0	380	0	0	980	21	383	51	0	0	54	1073	0	95	0	25	48	0	0	46	0	72	0	48	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	636	64	1442	691	329	50	459	915	1406	2185	37	389	26	0	0	5471	1644	710	205	324	0	41	743	162	1378	4132	3711	110	53	0	135	3537	2523	1910	233	111	34	812	1480	26	1677	941	79	11	132	4954	6870	1001	1207	208	20	26	59	495	1397	3128	2883	93	655
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Fastidiosipila	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor	90	748	336	0	77	0	21	254	0	286	0	55	0	1773	0	123	93	83	0	422	0	283	191	0	42	174	0	1427	0	318	11	310	0	0	53	269	343	151	0	0	282	522	0	1786	0	52	0	75	0	351	0	196	120	46	24	88	95	401	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Hydrogenoanaerobacterium	0	217	0	0	0	0	0	0	0	0	0	0	0	233	0	14	89	0	0	0	0	85	12	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	411	0	0	0	0	0	0	0	69	17	0	0	0	0	149	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas	0	63	119	0	0	0	0	57	0	252	0	0	0	152	0	0	0	0	0	16	0	0	0	168	217	0	0	0	0	60	0	112	0	0	0	0	0	32	0	0	70	0	0	230	0	0	0	0	0	19	0	0	0	259	119	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__NA	87	3258	1252	14	1210	0	147	2879	107	961	114	230	20	2716	20	654	913	516	0	83	25	1023	178	1007	252	738	112	5907	17	1900	25	876	19	647	1804	580	527	1558	45	143	1405	999	15	1669	45	226	40	597	15	143	11	681	215	1560	285	651	621	4061	43
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium	23	55	0	0	415	0	24	28	12	0	12	57	0	85	0	438	93	143	0	0	0	86	154	42	506	181	222	126	0	17	0	0	0	111	315	158	598	133	0	11	57	252	0	99	0	271	0	122	0	13	0	80	52	300	185	66	123	135	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus	0	23	16	0	46	0	0	463	289	545	303	97	47	2538	22	331	104	0	0	36	14	16	0	44	19	0	0	37	0	27	0	13	0	86	39	0	0	1175	89	216	689	46	29	1448	61	156	129	0	0	37	11	0	0	48	0	0	0	16	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum	63	156	1068	75	2161	320	829	4207	2071	1601	1287	1125	494	269	24	3289	1692	551	123	76	28	123	302	481	396	547	640	1052	46	130	0	1066	118	784	1482	218	108	5022	1402	1390	1876	2077	643	176	97	2308	1323	459	236	41	14	73	76	978	290	226	294	752	103
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__*Stoquefichus	14	13	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	12	0	16	19	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	12	0	38	128	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium	0	0	77	0	0	0	98	0	0	0	0	0	0	0	0	0	0	132	0	47	0	0	0	0	0	0	0	0	0	0	0	0	783	22	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	542	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus	26	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	35	0	0	0	0	0	0	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	36	39	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma	48	646	60	0	0	0	0	15	0	37	0	0	0	560	0	31	0	0	0	70	0	53	14	0	0	0	0	89	0	733	51	72	0	0	0	0	0	0	0	0	61	17	0	294	11	15	0	0	0	81	0	46	39	0	0	0	0	31	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelatoclostridium	0	0	0	0	0	0	46	0	0	0	0	0	0	90	0	37	0	0	0	0	0	0	0	37	20	145	0	0	0	0	0	0	0	0	0	35	25	0	0	0	0	0	0	47	0	31	0	0	0	0	0	0	0	63	0	31	43	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea	61	152	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	146	15	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella	35	294	0	0	26	0	2547	0	0	0	0	160	29	0	0	0	0	4129	196	0	0	0	19	41	331	0	0	2439	61	0	0	0	0	382	19	685	349	0	0	0	0	309	30	0	0	0	0	2750	1705	0	216	0	0	117	26	0	0	1119	151
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania	90	334	60	0	66	0	0	0	0	22	0	0	0	20	0	33	24	0	0	0	0	52	22	32	0	20	0	81	0	180	34	128	0	0	30	0	0	0	0	0	14	42	0	0	0	16	0	0	0	0	0	18	15	42	11	0	14	34	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__NA	194	583	26	0	28	0	0	348	96	281	120	19	14	107	0	269	61	17	0	18	0	309	146	0	0	30	0	684	33	485	80	0	0	18	16	233	211	156	30	91	342	0	0	92	0	124	84	0	0	51	0	165	90	0	0	0	12	424	44
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium	120	0	0	0	4253	2273	0	0	0	0	0	11588	9127	0	0	0	0	0	0	0	0	24	49	0	34	0	0	0	0	0	0	0	0	7722	4078	0	0	0	0	0	0	13669	12059	0	0	0	0	0	0	0	89	40	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter	187	560	236	252	297	200	245	224	182	198	281	348	261	240	67	0	0	0	0	128	151	527	337	113	157	0	0	0	0	418	146	175	153	156	146	402	466	79	76	222	154	274	405	186	151	0	0	0	0	153	128	291	189	102	62	0	0	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Acidaminococcus	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	11	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Phascolarctobacterium	0	0	0	0	321	0	399	0	0	0	0	0	0	0	0	0	0	97	0	0	0	31	24	73	189	493	46	0	0	0	0	0	0	167	158	173	151	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	196	175	175	317	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Succiniclasticum	106	265	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	70	0	0	0	0	0	0	229	47	0	0	23	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	116	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Dialister	250	695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	219	0	67	330	0	0	0	0	0	0	532	193	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	402	0	72	120	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megasphaera	3003	103	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	767	4697	0	63	31	16374	0	0	92	1383	0	0	2096	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	616	2168	17	11	559	136	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Negativicoccus	0	0	0	0	0	0	0	808	0	0	0	0	0	528	0	0	20	0	0	300	0	0	93	0	50	0	0	0	0	0	0	0	0	0	0	53	20	32	0	0	0	0	0	2139	0	0	0	0	0	440	0	0	11	0	16	0	0	0	0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium	0	15	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Parasutterella	108	195	0	0	440	0	0	48	0	203	0	159	0	406	0	84	94	0	0	39	0	282	204	87	220	0	0	0	0	160	25	0	0	0	145	51	0	78	0	0	157	566	0	246	0	75	0	0	0	46	0	104	70	204	103	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella	0	0	0	0	32	0	506	0	0	0	0	0	0	0	0	0	0	523	0	0	0	0	12	0	45	0	0	1059	11	0	0	0	0	0	81	165	225	0	0	0	0	0	0	0	0	0	0	402	0	0	0	0	0	21	79	171	23	711	64
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Oxalobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	0	0	0	0	287	0	0	0	0	0	0	0	0	92	0	0	13	0	0	0	0	116	13	231	0	71	0	127	0	0	0	0	0	0	509	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	37	0	19	0	12	23	70	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Buttiauxella-Kluyvera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	94	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Citrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1447	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	926	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Enterobacter	0	0	3464	143	0	0	0	391	671	2296	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3092	250	0	0	0	0	2886	1437	383	1556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Enterobacter-Kluyvera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	505	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia	15831	16409	0	0	52	0	11068	11683	1204	5547	705	2153	0	187	39047	20984	11369	17983	17191	29389	40944	3278	737	179	64	5164	154	1327	24430	4277	10457	0	0	36	63	16003	9544	4658	1782	967	8745	286	0	13724	53410	23201	20888	14569	14003	27969	34223	2348	1372	163	18	3361	5075	1576	36037
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Kluyvera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	97	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	145	0	0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia	289	970	4057	0	22	0	2413	323	101	1645	184	63	0	628	84	874	57	0	0	824	53	608	21	558	119	0	0	460	0	986	0	4357	0	0	53	3581	3106	1118	47	173	2685	24	0	389	170	246	28	0	0	1047	79	546	156	924	36	0	0	121	0
