#taxa	84B.R1.48H	84B.R2.48H	73B.R1.48H	73B.R2.48H	66A.R1.48H	66A.R2.48H	67A.R2.48H	92A.R1.48H	92A.R2.48H	92B.R1.48H	92B.R2.48H	66B.R1.48H	66B.R2.48H	276B.R1.48H	276B.R2.48H	116A.R1.48H	116A.R2.48H	176A.R1.48H	176A.R2.48H	276A.R1.48H	276A.R2.48H	84A.R1.48H	84A.R2.48H	73A.R1.48H	73A.R2.48H	67B.R1.48H	67B.R2.48H	176B.R1.48H	176B.R2.48H	84B.S1.48H	84B.S2.48H	73B.S1.48H	73B.S2.48H	66A.S1.48H	66A.S2.48H	67A.S1.48H	67A.S2.48H	92A.S1.48H	92A.S2.48H	92B.S1.48H	92B.S2.48H	66B.S1.48H	66B.S2.48H	276B.S1.48H	276B.S2.48H	116A.S1.48H	116A.S2.48H	176A.S1.48H	176A.S2.48H	276A.S1.48H	276A.S2.48H	84A.S1.48H	84A.S2.48H	73A.S1.48H	73A.S2.48H	67B.S1.48H	67B.S2.48H	176B.S1.48H	176B.S2.48H
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Senegalimassilia	0	0	0	0	314	65	11	0	0	0	0	54	12	0	0	0	0	318	189	0	40	0	0	0	0	0	98	306	0	0	0	0	0	110	191	13	29	0	0	0	0	225	0	0	0	0	0	219	145	0	22	0	0	0	0	0	0	149	17
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia	0	0	0	0	0	0	200	529	140	498	50	0	0	0	0	0	0	74	50	0	0	0	0	0	0	0	0	2489	0	0	0	0	0	0	11	317	156	185	80	40	505	0	0	0	0	0	0	76	79	0	44	0	0	0	0	0	0	509	24
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	3187	5918	10006	0	5078	13	7273	2090	11	2572	95	1521	58	2074	1966	11419	3630	12026	6295	11221	1966	6557	5085	4371	2161	4378	267	7853	4370	3121	1357	4994	0	1491	3028	6616	5286	1465	27	76	2764	2756	130	3501	3870	6685	3437	8599	6714	12084	1490	5664	3156	5768	1480	3956	3889	4212	9112
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__NA;g__NA	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	114	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella	77	261	494	0	122	0	0	368	0	379	0	27	0	54	0	0	51	33	0	13	0	290	119	309	54	0	0	113	0	98	15	616	0	0	62	14	12	84	0	0	288	119	0	47	0	0	0	24	0	11	0	270	84	351	0	0	0	77	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Butyricimonas	0	0	0	0	0	0	0	66	0	70	0	0	0	0	0	0	77	14	0	0	0	0	0	25	0	0	0	88	0	0	0	0	0	0	0	42	76	45	0	0	71	0	0	0	0	28	0	13	0	0	0	0	0	40	0	0	0	62	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	0	45	13	0	124	0	0	49	0	25	0	60	0	21	0	0	0	0	0	0	0	38	12	52	0	0	0	12	0	14	0	0	0	0	83	0	0	12	0	0	25	64	0	35	0	0	0	0	0	12	0	19	0	117	0	0	0	15	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	1540	2651	4190	0	4605	0	845	1723	0	2307	17	362	0	1181	25	1867	1936	588	52	1424	67	3241	1811	855	961	302	20	541	64	1514	2723	12291	0	786	4069	1661	411	2504	0	0	3490	1527	15	948	148	4502	347	1692	81	4282	81	5299	7310	3409	778	415	292	458	2733
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	0	0	0	0	0	0	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__NA	13	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	19	0	0	37	0	0	0	0	23	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	76	181	0	0	0	0	16	66	121	64	0	0
