#taxa	84B.R1.48H	84B.R2.48H	73B.R1.48H	73B.R2.48H	66A.R1.48H	66A.R2.48H	67A.R2.48H	92A.R1.48H	92A.R2.48H	92B.R1.48H	92B.R2.48H	66B.R1.48H	66B.R2.48H	276B.R1.48H	276B.R2.48H	116A.R1.48H	116A.R2.48H	176A.R1.48H	176A.R2.48H	276A.R1.48H	276A.R2.48H	84A.R1.48H	84A.R2.48H	73A.R1.48H	73A.R2.48H	67B.R1.48H	67B.R2.48H	176B.R1.48H	176B.R2.48H	84B.S1.48H	84B.S2.48H	73B.S1.48H	73B.S2.48H	66A.S1.48H	66A.S2.48H	67A.S1.48H	67A.S2.48H	92A.S1.48H	92A.S2.48H	92B.S1.48H	92B.S2.48H	66B.S1.48H	66B.S2.48H	276B.S1.48H	276B.S2.48H	116A.S1.48H	116A.S2.48H	176A.S1.48H	176A.S2.48H	276A.S1.48H	276A.S2.48H	84A.S1.48H	84A.S2.48H	73A.S1.48H	73A.S2.48H	67B.S1.48H	67B.S2.48H	176B.S1.48H	176B.S2.48H
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	2318	13917	0	0	0	0	0	0	0	4450	1296	1678	1680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10311	1548	0	0	0	0	0	0	0	0	1325	5764	7450	2121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	11	0	0	0	86	23	0	0	0	0	0	244	139	0	0	0	0	0	0	0	0	0	0	0	0	172	30	0	0	0	0	0	0	133	58	0	0	0	0	0	0	117	183	0	0	0	0	0	0	0	0	0	0	0	0	83	82	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0	0	0	478	0	0	0	0	2517	0	0	0	0	0	0	0	0	0	0	0	7190	0	0	0	13	1164	2906	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	3386	4515	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0	49	528	532	151	16	0	1335	496	473	399	119	73	272	27	17	0	73	41	75	38	134	37	274	159	54	24	1220	22	12	0	499	212	108	210	0	0	593	154	332	495	90	465	146	36	15	12	78	78	60	39	38	17	214	29	32	33	734	44
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae	50	228	79	26	308	0	0	274	13	402	13	72	0	198	0	298	155	55	0	0	0	110	12	48	26	94	0	81	0	252	0	0	0	0	181	13	45	68	0	0	245	301	0	45	0	153	50	27	0	11	0	65	0	134	16	17	31	11	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	12142	10739	13298	39106	16181	10652	3970	3481	718	5367	1892	5959	4663	5354	96	1159	324	65	0	1960	373	15645	16258	9003	12494	40	0	159	48	11878	13618	13236	15141	9655	8118	5917	10915	418	376	2454	6629	3803	5752	2142	4274	833	855	0	0	1907	1716	14403	13377	9341	13478	0	0	66	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Defluviitaleaceae	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae	17	246	0	0	13	0	0	0	0	15	0	0	0	15	0	0	0	0	0	0	0	371	90	17	29	0	0	0	0	120	0	0	0	16	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	66	84	13	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family XI	38	1592	61	0	0	0	0	30	0	159	0	0	0	331	0	0	0	0	0	0	0	783	15	162	0	41	0	16	0	1762	0	0	0	0	0	0	27	0	0	0	100	0	0	0	0	0	0	0	0	0	0	645	84	102	14	17	29	0	0
