#taxa	84B.R1.48H	84B.R2.48H	73B.R1.48H	73B.R2.48H	66A.R1.48H	66A.R2.48H	67A.R2.48H	92A.R1.48H	92A.R2.48H	92B.R1.48H	92B.R2.48H	66B.R1.48H	66B.R2.48H	276B.R1.48H	276B.R2.48H	116A.R1.48H	116A.R2.48H	176A.R1.48H	176A.R2.48H	276A.R1.48H	276A.R2.48H	84A.R1.48H	84A.R2.48H	73A.R1.48H	73A.R2.48H	67B.R1.48H	67B.R2.48H	176B.R1.48H	176B.R2.48H	84B.S1.48H	84B.S2.48H	73B.S1.48H	73B.S2.48H	66A.S1.48H	66A.S2.48H	67A.S1.48H	67A.S2.48H	92A.S1.48H	92A.S2.48H	92B.S1.48H	92B.S2.48H	66B.S1.48H	66B.S2.48H	276B.S1.48H	276B.S2.48H	116A.S1.48H	116A.S2.48H	176A.S1.48H	176A.S2.48H	276A.S1.48H	276A.S2.48H	84A.S1.48H	84A.S2.48H	73A.S1.48H	73A.S2.48H	67B.S1.48H	67B.S2.48H	176B.S1.48H	176B.S2.48H
k__Archaea;p__Euryarchaeota	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
k__Bacteria;p__Actinobacteria	4266	5153	3037	14381	5425	30553	11589	17868	22708	13486	32133	35397	38089	5100	13271	9913	12480	3656	21308	1810	5828	3159	4190	1692	7532	18292	25709	17524	20187	5299	2499	1955	12061	14951	5479	8679	8143	17754	36718	39958	15323	12395	42845	2668	4180	9516	20133	9844	20604	1873	9974	1997	1088	3477	1763	23284	20712	12408	7841
k__Bacteria;p__Bacteroidetes	4912	9157	15384	0	10524	13	8624	4613	11	5752	112	2199	58	3423	1991	13358	5833	12719	6347	12698	2033	10278	7122	5824	3244	5005	287	8812	4434	4877	4169	18983	0	2303	7516	8366	5836	4321	27	76	6941	4816	145	4586	4018	11308	3804	10496	7065	16428	1571	11354	10606	10004	2324	4998	4618	4998	11900
k__Bacteria;p__Firmicutes	28178	60516	34636	43439	65525	28693	19435	31091	14621	30615	11136	27328	18257	40128	1513	21969	11866	16576	3943	11181	9235	48545	44827	44673	50026	20890	27436	33463	587	47273	25848	36119	27496	52948	43699	20239	23750	21541	8632	10895	34659	42414	23863	27733	8096	15086	12649	19848	10840	12352	4004	40152	36140	52588	39286	14973	15825	35947	7490
k__Bacteria;p__Fusobacteria	0	15	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria	15939	16617	3464	143	811	0	11574	12122	1875	8046	1044	2312	0	685	39047	21068	11476	18506	17191	29428	40944	3676	966	497	329	7527	210	2537	24441	4437	10482	3092	250	36	798	16219	9769	7622	3219	1350	10458	852	0	14033	53410	23276	20888	14971	14003	28015	34223	2489	1442	407	200	4169	6888	2357	36101
k__Bacteria;p__Verrucomicrobia	289	970	4057	0	22	0	2413	323	101	1645	184	63	0	628	84	874	57	0	0	824	53	608	21	558	119	0	0	460	0	986	0	4357	0	0	53	3581	3106	1118	47	173	2685	24	0	389	170	246	28	0	0	1047	79	546	156	924	36	0	0	121	0
