sample_key,Acetanaerobacterium,Acidaminococcus,Acinetobacter,Actinomyces,Adlercreutzia,Afipia,Akkermansia,Alistipes,Alkaliphilus,Alloprevotella,Alloscardovia,Anaerococcus,Anaerofilum,Anaerofustis,Anaerostipes,Anaerotruncus,Asaccharospora,Atopobium,Bacillus,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blautia,Buttiauxella,Butyricicoccus,Butyricimonas,Carnobacterium,Catabacter,Catenibacterium,Cellulosilyticum,Christensenella,Citrobacter,Cloacibacterium,Clostridium,Collinsella,Coprobacillus,Coprococcus,Corynebacterium,Denitrobacterium,Desulfovibrio,Dialister,Dielma,Dorea,Eggerthella,Eisenbergiella,Enterobacter,Enterococcus,Enterorhabdus,Epulopiscium,Erysipelatoclostridium,Escherichia,Eubacterium,Ezakiella,Faecalibacterium,Faecalitalea,Fastidiosipila,Finegoldia,Flavonifractor,Fusicatenibacter,Fusobacterium,Gallicola,Gardnerella,Gemella,Gordonibacter,Granulicatella,Hafnia,Holdemanella,Holdemania,Howardella,Hungatella,Hydrogenoanaerobacterium,Intestinibacter,Intestinimonas,Klebsiella,Kluyvera,Kocuria,Lachnoclostridium,Lachnospira,Lactobacillus,Lactococcus,Lactonifactor,Leuconostoc,Lysinibacillus,Marvinbryantia,Megasphaera,Methanobacterium,Methanobrevibacter,Micrococcus,Mitsuokella,Mobiluncus,Mogibacterium,Murdochiella,Negativicoccus,Odoribacter,Olsenella,Oribacterium,Oscillibacter,Other,Oxalobacter,Paenibacillus,Paeniclostridium,Pantoea,Parabacteroides,Paraclostridium,Paraprevotella,Parasutterella,Parvimonas,Pediococcus,Peptoclostridium,Peptococcus,Peptoniphilus,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella,Propionibacterium,Pseudoflavonifractor,Pseudomonas,Rhodococcus,Robinsoniella,Romboutsia,Roseburia,Rothia,Ruminiclostridium,Ruminococcus,Sarcina,Selenomonas,Senegalimassilia,Shuttleworthia,Slackia,Solobacterium,Staphylococcus,Streptococcus,Subdoligranulum,Succiniclasticum,Sutterella,Terrisporobacter,Thermus,Tissierella,Turicibacter,Tyzzerella,Varibaculum,Victivallis,Weissella,c__Chloroplast,c__Cyanobacteria,c__Mollicutes,f__Actinomycetaceae,f__Christensenellaceae,f__Coriobacteriaceae,f__Corynebacteriaceae,f__Defluviitaleaceae,f__Enterobacteriaceae,f__Erysipelotrichaceae,f__Family XI,f__Family XIII,f__Gemmatimonadaceae,f__Lachnospiraceae,f__Neisseriaceae,f__Peptococcaceae,f__Prevotellaceae,f__Rikenellaceae,f__Ruminococcaceae,g__*Soleaferrea,g__*Stoquefichus,o__Bacteroidales,o__Clostridiales,o__Lactobacillales
21__21B__SDC__1.0__48H,0,0,0,0,0,0,0,88,0,0,0,34,0,0,44,0,0,0,0,13185,0,166,0,8289,0,0,0,1200,0,133,0,0,0,0,996,13249,0,56,0,0,0,0,79,0,674,0,0,0,0,0,0,513,19,0,737,19,0,0,354,62,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,0,0,1558,0,0,0,13,0,0,23,0,0,0,0,0,0,0,0,55,0,0,0,0,27,0,0,0,0,7608,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,41,246,0,13,0,0,0,0,0,0,0,0,54,781,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,497,0,0,0,0,396,28,0,0,0,0
21__21B__SDC__2.0__0H,0,0,0,54,0,0,0,0,0,0,0,0,0,0,1088,0,0,0,0,0,0,1315,0,31782,0,0,0,0,0,3435,0,0,0,0,0,458,0,599,0,0,0,0,0,1417,96,0,0,0,0,0,0,0,3809,0,1021,252,0,0,0,2407,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,2409,0,0,45,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509,356,0,182,0,0,0,0,0,0,0,0,784,549,0,0,0,0,0,22,0,0,0,0,0,0,0,0,65,17,0,0,0,367,0,136,0,1505,0,0,0,0,2297,0,0,0,0,0
21__21B__SDC__2.0__48H,15,0,0,0,0,0,0,95,0,0,0,166,0,0,64,0,0,0,0,9411,0,444,16,4978,0,0,0,9713,13,199,0,0,0,0,14321,3221,0,20,0,0,0,0,0,11,1164,21,0,0,0,0,0,0,210,0,352,14,0,313,843,104,0,0,0,0,14,0,0,0,259,0,0,0,0,0,0,0,0,3191,0,0,18,26,0,0,73,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,55,0,0,2430,0,0,0,0,0,0,0,471,0,0,0,0,0,41,0,0,0,227,17,0,39,0,0,0,0,0,0,0,0,98,413,0,0,0,0,0,0,15,0,0,0,0,0,0,0,22,0,0,0,0,25,0,0,0,769,0,0,0,0,489,54,0,0,0,0
239__239A__No Added Carb__1.0__0H,0,0,0,22,46,0,0,0,0,0,0,0,0,0,1435,0,0,0,0,0,0,13155,0,7722,0,0,0,0,0,0,0,0,0,0,0,9773,0,808,0,0,0,16,0,1690,70,0,0,0,0,0,24,28,5648,0,966,0,0,11,0,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6377,0,0,71,0,69,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,177,0,0,0,0,0,0,0,0,996,2530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,889,0,64,0,2098,0,0,0,0,290,0,0,0,0,0
239__239A__No Added Carb__1.0__48H,16,0,0,0,12,0,331,169,0,0,0,11,0,0,0,14,28,0,0,4075,21,10060,0,4374,0,0,23,0,0,0,0,0,0,0,512,6392,0,65,0,0,0,0,0,370,223,0,0,0,0,0,0,21077,170,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,0,0,87,0,180,0,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682,0,0,0,0,18,0,0,0,0,1751,0,0,44,0,0,0,0,1035,0,0,0,0,0,0,0,0,0,0,0,0,241,142,0,0,0,0,0,0,0,120,324,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,35,0,11,0,645,0,0,0,0,498,0,0,0,0,0
239__239A__RDC__1.0__0H,0,0,0,20,43,0,0,0,0,0,0,0,0,0,1235,0,0,0,0,0,0,12910,0,6382,0,0,0,0,0,0,0,0,0,0,0,8833,0,666,0,0,0,0,0,1537,74,0,0,0,0,0,30,24,4787,0,836,0,0,0,0,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5841,0,0,53,0,69,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,910,2136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,797,0,78,0,1791,0,0,0,0,212,0,0,0,0,0
239__239A__RDC__1.0__48H,0,0,0,0,0,0,55,81,0,0,0,0,0,0,0,0,16,0,0,1416,0,18012,0,817,0,0,0,0,0,0,0,0,0,0,395,7551,0,59,0,0,0,0,0,151,99,0,0,0,0,0,0,16002,82,0,0,0,0,125,0,74,0,0,0,0,0,0,0,0,0,0,31,0,72,0,0,0,0,211,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,23,0,0,0,0,263,0,0,68,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,118,0,68,512,0,0,0,0,0,0,0,130,284,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,101,0,0,0,0,48,0,0,0,0,0
239__239A__RDC__2.0__0H,0,0,0,27,56,0,0,0,0,0,0,0,0,0,1298,0,0,0,0,0,0,11899,0,7280,0,0,0,0,0,0,0,0,0,0,0,9624,0,801,0,0,0,0,0,1724,83,0,0,0,0,0,30,26,5449,0,1000,0,0,0,0,862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6034,0,0,51,0,56,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,846,2416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,864,0,82,0,1995,0,0,0,0,304,0,0,0,0,0
239__239A__RDC__2.0__48H,0,0,0,0,17,0,176,264,0,0,0,11,0,0,0,0,46,0,0,4137,37,13110,0,2503,0,0,0,0,0,0,0,0,0,0,1240,7695,0,170,0,0,0,0,0,368,267,0,0,0,0,0,0,13769,254,0,0,0,0,377,0,59,0,0,0,0,0,0,0,0,0,0,117,0,189,0,0,0,0,535,0,24,19,0,0,0,0,0,0,0,0,0,0,0,0,497,0,0,0,0,25,0,0,0,0,744,0,0,221,0,0,0,0,950,0,0,0,0,0,0,0,0,0,0,423,0,248,1638,0,0,0,0,0,0,0,184,410,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,50,0,27,0,385,0,0,0,0,174,0,0,0,0,0
239__239A__SDC__1.0__0H,0,0,0,30,57,0,0,0,0,0,0,0,0,0,1246,0,0,0,0,0,0,12411,0,8072,0,0,0,0,0,0,0,0,0,0,0,8503,0,861,0,0,0,13,0,1692,63,0,0,0,0,0,31,19,5441,0,1067,0,0,0,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6090,0,0,60,0,52,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,181,0,0,0,0,0,0,0,0,901,2398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,796,0,71,0,1951,0,0,0,0,276,0,0,0,0,0
