sample_key,customer_label,donor_id,aliquot_id,carbohydrate,timepoint,group,gene_copies_per_ul,asv_read_depth
161__161B__RDC__1.0__0H,161B.R1.0H,161,161B,RDC,0H,case,482918512.0,46707.0
161__161B__RDC__1.0__48H,161B.R1.48H,161,161B,RDC,48H,case,2755715327.0,51856.0
161__161B__RDC__2.0__0H,161B.R2.0H,161,161B,RDC,0H,case,390984234.0,51690.0
161__161B__RDC__2.0__48H,161B.R2.48H,161,161B,RDC,48H,case,171641231.0,55419.0
161__161B__SDC__1.0__0H,161B.S1.0H,161,161B,SDC,0H,case,301612360.0,43129.0
161__161B__SDC__1.0__48H,161B.S1.48H,161,161B,SDC,48H,case,1158348157.0,49324.0
161__161B__SDC__2.0__0H,161B.S2.0H,161,161B,SDC,0H,case,969164672.0,45910.0
161__161B__SDC__2.0__48H,161B.S2.48H,161,161B,SDC,48H,case,1720097547.0,61021.0
176__176A__No Added Carb__1.0__0H,176A.NC.0H,176,176A,No Added Carb,0H,control,49244224.0,48394.0
176__176A__No Added Carb__1.0__48H,176A.NC.48H,176,176A,No Added Carb,48H,control,2576026041.0,55934.0
176__176A__RDC__1.0__0H,176A.R1.0H,176,176A,RDC,0H,control,247013311.0,52089.0
176__176A__RDC__1.0__48H,176A.R1.48H,176,176A,RDC,48H,control,4891177441.0,51457.0
176__176A__RDC__2.0__0H,176A.R2.0H,176,176A,RDC,0H,control,5222556.0,50447.0
176__176A__RDC__2.0__48H,176A.R2.48H,176,176A,RDC,48H,control,17192998226.0,48789.0
176__176A__SDC__1.0__0H,176A.S1.0H,176,176A,SDC,0H,control,59093553.0,79742.0
176__176A__SDC__1.0__48H,176A.S1.48H,176,176A,SDC,48H,control,3674608902.0,55159.0
176__176A__SDC__2.0__0H,176A.S2.0H,176,176A,SDC,0H,control,179975.0,27141.0
176__176A__SDC__2.0__48H,176A.S2.48H,176,176A,SDC,48H,control,8474784417.0,52512.0
176__176B__No Added Carb__1.0__48H,176B.NC.48H,176,176B,No Added Carb,48H,control,56747075.0,50343.0
176__176B__RDC__1.0__0H,176B.R1.0H,176,176B,RDC,0H,control,2883725956.0,51980.0
176__176B__RDC__1.0__48H,176B.R1.48H,176,176B,RDC,48H,control,138325874.0,62836.0
