sample_key,customer_label,donor_id,aliquot_id,carbohydrate,timepoint,group,gene_copies_per_ul,asv_read_depth
84__84B__RDC__2.0__0H,84B.R2.0H,84,84B,RDC,0H,control,725174.0,71701.0
84__84B__RDC__2.0__48H,84B.R2.48H,84,84B,RDC,48H,control,2421014467.0,92462.0
84__84B__SDC__1.0__0H,84B.S1.0H,84,84B,SDC,0H,control,19827635.0,55591.0
84__84B__SDC__1.0__48H,84B.S1.48H,84,84B,SDC,48H,control,2001315168.0,62909.0
84__84B__SDC__2.0__0H,84B.S2.0H,84,84B,SDC,0H,control,92904281.0,53329.0
84__84B__SDC__2.0__48H,84B.S2.48H,84,84B,SDC,48H,control,26388008008.0,42998.0
92__92A__No Added Carb__1.0__0H,92A.NC.0H,92,92A,No Added Carb,0H,control,232127069.0,56914.0
92__92A__No Added Carb__1.0__48H,92A.NC.48H,92,92A,No Added Carb,48H,control,539952732.0,65777.0
92__92A__RDC__1.0__0H,92A.R1.0H,92,92A,RDC,0H,control,39674060.0,68397.0
92__92A__RDC__1.0__48H,92A.R1.48H,92,92A,RDC,48H,control,1012997419.0,66117.0
92__92A__RDC__2.0__0H,92A.R2.0H,92,92A,RDC,0H,control,217552864.0,51860.0
92__92A__RDC__2.0__48H,92A.R2.48H,92,92A,RDC,48H,control,408341139.0,39338.0
92__92A__SDC__1.0__0H,92A.S1.0H,92,92A,SDC,0H,control,168313723.0,48915.0
92__92A__SDC__1.0__48H,92A.S1.48H,92,92A,SDC,48H,control,53943367.0,52390.0
92__92A__SDC__2.0__0H,92A.S2.0H,92,92A,SDC,0H,control,24258659.0,56474.0
92__92A__SDC__2.0__48H,92A.S2.48H,92,92A,SDC,48H,control,2828924141.0,48656.0
92__92B__No Added Carb__1.0__0H,92B.NC.0H,92,92B,No Added Carb,0H,control,10434833956.0,47083.0
92__92B__No Added Carb__1.0__48H,92B.NC.48H,92,92B,No Added Carb,48H,control,716396281.0,58672.0
92__92B__RDC__1.0__0H,92B.R1.0H,92,92B,RDC,0H,control,2059053917.0,55731.0
92__92B__RDC__1.0__48H,92B.R1.48H,92,92B,RDC,48H,control,6505499928.0,59570.0
92__92B__RDC__2.0__0H,92B.R2.0H,92,92B,RDC,0H,control,1692566337.0,61080.0
92__92B__RDC__2.0__48H,92B.R2.48H,92,92B,RDC,48H,control,1039224140.0,44629.0
92__92B__SDC__1.0__0H,92B.S1.0H,92,92B,SDC,0H,control,1675600028.0,58831.0
92__92B__SDC__1.0__48H,92B.S1.48H,92,92B,SDC,48H,control,2670529723.0,52470.0
92__92B__SDC__2.0__0H,92B.S2.0H,92,92B,SDC,0H,control,1640659312.0,49134.0
92__92B__SDC__2.0__48H,92B.S2.48H,92,92B,SDC,48H,control,2981727798.0,70098.0
