#taxa	84B.R1.48H	84B.R2.48H	84B.S1.48H	84B.S2.48H	84B.NC.48H	21B.R1.48H	21B.R2.48H	21B.S1.48H	21B.S2.48H	21B.NC.48H	73B.R1.48H	73B.R2.48H	73B.S1.48H	73B.S2.48H	73B.NC..48H	21A.R1.48H	21A.R2.48H	21A.S1.48H	21A.S2.48H	21A.NC.48H	66A.R1.48H	66A.R2.48H	66A.S1.48H	66A.S2.48H	66A.NC.48H	41B.R1.48H	41B.R2.48H	41B.S1.48H	41B.S2.48H	41B.NC.48H	50B.R1.48H	50B.R2.48H	50B.S1.48H	50B.S2.48H	50B.NC.48H	67A.R2.48H	67A.S1.48H	67A.S2.48H	67A.NC.48H	92A.R1.48H	92A.R2.48H	92A.S1.48H	92A.S2.48H	92A.NC.48H	92B.R1.48H	92B.R2.48H	92B.S1.48H	92B.S2.48H	92B.NC.48H	161A.R1.48H	161A.R2.48H	161A.S1.48H	161A.S2.48H	161A.NC.48H	66B.R1.48H	66B.R2.48H	66B.S1.48H	66B.S2.48H	66B.NC.48H	123A.R1.48H	123A.R2.48H	123A.S1.48H	123A.S2.48H	123A.NC.48H	58B.R1.48H	58B.R2.48H	58B.S1.48H	58B.S2.48H	58B.NC.48H	137B.R1.48H	137B.R2.48H	137B.S1.48H	137B.S2.48H	137B.NC.48H	276B.R1.48H	276B.R2.48H	276B.S1.48H	276B.S2.48H	276B.NC.48H	123B.R1.48H	123B.R2.48H	123B.S1.48H	123B.S2.48H	123B.NC.48H	116A.R1.48H	116A.R2.48H	116A.S1.48H	116A.S2.48H	116A.NC.48H	239B.R1.48H	239B.R2.48H	239B.S1.48H	239B.S2.48H	239B.NC.48H	MediaControl	176A.R1.48H	176A.R2.48H	176A.S1.48H	176A.S2.48H	176A.NC.48H	276A.R1.48H	276A.R2.48H	276A.S1.48H	276A.S2.48H	276A.NC.48H	84A.R1.48H	84A.R2.48H	84A.S1.48H	84A.S2.48H	84A.NC.48H	58A.R1.48H	58A.R2.48H	58A.S1.48H	58A.S2.48H	58A.NC.48H	137A.R1.48H	137A.S1.48H	137A.S2.48H	137A.NC.48H	41A.R1.48H	41A.R2.48H	41A.S1.48H	41A.S2.48H	41A.NC.48H	161B.R1.48H	161B.R2.48H	161B.S1.48H	161B.S2.48H	161B.NC.48H	73A.R1.48H	73A.R2.48H	73A.S1.48H	73A.S2.48H	73A.NC.48H	50A.R1.48H	50A.R2.48H	50A.S1.48H	50A.S2.48H	50A.NC.48H	116B.R1.48H	116B.R2.48H	116B.S1.48H	116B.S2.48H	116B.NC.48H	176B.R1.48H	176B.R2.48H	176B.S1.48H	176B.S2.48H	176B.NC.48H	239A.R1.48H	239A.R2.48H	239A.S1.48H	239A.S2.48H	239A.NC.48H	67B.R1.48H	67B.R2.48H	67B.S1.48H	67B.S2.48H	67B.NC.48H	161A.R1.0H	161A.R2.0H	161A.S1.0H	161A.S2.0H	161A.NC.0H	239A.R1.0H	239A.R2.0H	239A.S1.0H	239A.S2.0H	239A.NC.0H	116A.R1.0H	116A.R2.0H	116A.S1.0H	116A.S2.0H	116A.NC.0H	137B.R1.0H	137B.R2.0H	137B.S1.0H	137B.S2.0H	137B.NC.0H	67A.R1.0H	67A.R2.0H	67A.S1.0H	67A.S2.0H	67A.NC.0H	73B.R1.0H	73B.R2.0H	73B.S1.0H	73B.S2.0H	73.NC.0H	MediaControl48h	58B.R1.0H	58B.R2.0H	58B.S1.0H	58B.S2.0H	58B.NC.0H	67B.R1.0H	67B.R2.0H	67B.S1.0H	67B.S2.0H	67B.NC.0H	92A.R1.0H	92A.R2.0H	92A.S1.0H	92A.S2.0H	92A.NC.0H	176A.R1.0H	176A.R2.0H	176A.S1.0H	176A.S2.0H	176A.NC.0H	137A.R1.0H	137A.R2.0H	137A.S1.0H	137A.S2.0H	137A.NC.0H	41A.R1.0H	41A.R2.0H	41A.S1.0H	41A.S2.0H	41A.NC.40H	50A.R1.0H	50A.R2.0H	50A.S1.0H	50A.S2.0H	50A.NC.0H	58A.R1.0H	58A.R2.0H	58A.S1.0H	58A.S2.0H	58A.NC.0H	73A.R1.0H	73A.R2.0H	73A.S1.0H	73A.S2.0H	73A.NC.0H	66B.R1.0H	66B.R2.0H	66B.S1.0H	66B.NC.0H	66B.S2.0H	41B.R1.0H	41B.R2.0H	41B.S1.0H	41B.S2.0H	41B.NC.0H	84B.R1.0H	84B.R2.0H	84B.S1.0H	84B.S2.0H	84B.NC.0H	50B.R1.0H	50B.R2.0H	50B.S1.0H	50B.S2.0H	50B.NC.0H	161B.R2.0H	161B.R1.0H	161B.S1.0H	161B.S2.0H	161B.NC.0H	21A.R1.0H	21A.R2.0H	21A.S1.0H	21A.S2.0H	21A.NC.0H	66A.R1.0H	66A.R2.0H	66A.S1.0H	66A.S2.0H	66A.NC.0H	84A.R1.0H	84A.R2.0H	84A.S1.0H	84A.S2.0H	123A.R1.0H	123A.R2.0H	123A.S1.0H	123A.S2.0H	123A.NC.0H	239B.R1.0H	239B.R2.0H	239B.S1.0H	239B.S2.0H	239B.NC.0H	21B.R1.0H	21B.R2.0H	21B.S1.0H	21B.S2.0H	21B.NC.0H	92B.R1.0H	92B.R2.0H	92B.S1.0H	92B.S2.0H	92B.NC.0H	176B.R1.0H	176B.R2.0H	176B.S1.0H
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__formicicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	20	120	144	41	0	0	0	0	0	0	0	0	0	0	363	0	229	0	352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	65	0	69	74	0	34	0	256	99	0	99	16	229	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	3831	3390	3425	3237	3459	0	0	0	0	0	0	0	0	0	0	20	18	21	22	15	2071	1799	2555	2334	1731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	122	0	0	0	0	0	0	0	49	33	37	27	43	28	28	29	0	0	0	0	0	0	0	0	0	0	25	26	50	25	30	55	85	56
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__gerencseriae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__graevenitzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	13	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	11	14	18	19	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__johnsonii-naeslundii-oris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__meyeri-odontolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__naeslundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	22	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	15	16	22	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	16	19	26	22	0	0	0	0	0	19	0	0	0	0	0	0	0	13	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__odontolyticus	0	0	0	0	0	0	11	0	0	0	22	17	13	12	0	0	0	0	0	0	13	0	0	0	0	20	0	13	0	15	0	0	0	0	0	0	0	0	0	11	12	0	0	16	0	14	0	0	0	0	0	0	0	0	24	12	19	14	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	27	0	21	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	14	0	0	0	0	0	12	15	15	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	12	0	0	0	0	0	0	29	24	27	16	12	20	27	30	30	22	0	0	0	0	0	17	23	27	0	26	17	13	24	21	13	69	37	45	55	22	26	24	24	23	29	25	27	21	29	27	18	38	0	0	0	0	0	41	88	31	55	53	20	26	42	62	48	0	0	0	0	0	0	0	0	0	12	13	12	17	12	12	41	40	73	61	34	0	0	0	0	0	0	22	25	27	25	14	27	46	12	15	0	0	12	20	0	56	39	49	37	50	31	70	47	83	53	30	26	11	15	15	22	0	13	0	48	77	91	54	0	26	21	21	56	0	33	45	20	27	17	22	25	0	11	17	14	13
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__oris	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	14	18	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	16	19	0	0	0	0	0	0	0	0
