left_out_donor,spearman_rho,n
116,0.4945054945054945,13
137,0.34615384615384615,13
161,0.6263736263736264,13
176,0.5659340659340659,13
21,0.41208791208791207,13
239,0.5659340659340659,13
41,0.5054945054945055,13
50,0.4835164835164835,13
58,0.510989010989011,13
66,0.521978021978022,13
67,0.4505494505494505,13
73,0.34615384615384615,13
84,0.34615384615384615,13
92,0.47802197802197804,13
