analysis,exposure,outcome,spearman_rho,permutation_p,bootstrap_ci95_low,bootstrap_ci95_high,n_donors,bh_q,bh_reject_0.1
RDC_butyrate,net_delta_log10_fusi_qpcr_RDC,net_delta_butyrate_RDC,0.22637362637362637,0.45285471452854714,-0.43627307046979863,0.7426636568848759,14,0.9485051494850515,False
SDC_rel_fusi_butyrate,net_delta_log10_fusi_rel_SDC,net_delta_butyrate_SDC,0.367032967032967,0.19288071192880712,-0.306844243792325,0.8527661015248792,14,0.9485051494850515,False
SDC_total_load_butyrate,net_delta_log10_load_SDC,net_delta_butyrate_SDC,-0.12087912087912088,0.6821317868213179,-0.6920155111656636,0.4999999999999999,14,0.9524047595240476,False
SDC_acetate,net_delta_log10_fusi_qpcr_SDC,net_delta_acetate_SDC,-0.2043956043956044,0.47425257474252575,-0.7207675796601971,0.3846846846846843,14,0.9485051494850515,False
SDC_propionate,net_delta_log10_fusi_qpcr_SDC,net_delta_propionate_SDC,-0.04175824175824176,0.8858114188581142,-0.6303188108405694,0.583911554835093,14,0.9524047595240476,False
SDC_total_scfa,net_delta_log10_fusi_qpcr_SDC,net_delta_total_scfa_SDC,0.01978021978021978,0.9524047595240476,-0.5927849264705882,0.7085527106021781,14,0.9524047595240476,False
