#taxa	21B.R1.48H	21B.R2.48H	21B.S1.48H	21B.S2.48H	21B.NC.48H	21A.R1.48H	21A.R2.48H	21A.S1.48H	21A.S2.48H	21A.NC.48H	41B.R1.48H	41B.R2.48H	41B.S1.48H	41B.S2.48H	41B.NC.48H	50B.R1.48H	50B.R2.48H	50B.S1.48H	50B.S2.48H	50B.NC.48H	161A.R1.48H	161A.R2.48H	161A.S1.48H	161A.S2.48H	161A.NC.48H	123A.R1.48H	123A.R2.48H	123A.S1.48H	123A.S2.48H	123A.NC.48H	58B.R1.48H	58B.R2.48H	58B.S1.48H	58B.S2.48H	58B.NC.48H	239B.R1.48H	239B.R2.48H	239B.S1.48H	239B.S2.48H	239B.NC.48H	58A.R1.48H	58A.R2.48H	58A.S1.48H	58A.S2.48H	58A.NC.48H	41A.R1.48H	41A.R2.48H	41A.S1.48H	41A.S2.48H	41A.NC.48H	161B.R1.48H	161B.R2.48H	161B.S1.48H	161B.S2.48H	161B.NC.48H	50A.R1.48H	50A.R2.48H	50A.S1.48H	50A.S2.48H	50A.NC.48H	239A.R1.48H	239A.R2.48H	239A.S1.48H	239A.S2.48H	239A.NC.48H	161A.R1.0H	161A.R2.0H	161A.S1.0H	161A.S2.0H	161A.NC.0H	239A.R1.0H	239A.R2.0H	239A.S1.0H	239A.S2.0H	239A.NC.0H	58B.R1.0H	58B.R2.0H	58B.S1.0H	58B.S2.0H	58B.NC.0H	41A.R1.0H	41A.R2.0H	41A.S1.0H	41A.S2.0H	41A.NC.40H	50A.R1.0H	50A.R2.0H	50A.S1.0H	50A.S2.0H	50A.NC.0H	58A.R1.0H	58A.R2.0H	58A.S1.0H	58A.S2.0H	58A.NC.0H	41B.R1.0H	41B.R2.0H	41B.S1.0H	41B.S2.0H	41B.NC.0H	50B.R1.0H	50B.R2.0H	50B.S1.0H	50B.S2.0H	50B.NC.0H	161B.R2.0H	161B.R1.0H	161B.S1.0H	161B.S2.0H	161B.NC.0H	21A.R1.0H	21A.R2.0H	21A.S1.0H	21A.S2.0H	21A.NC.0H	123A.R1.0H	123A.R2.0H	123A.S1.0H	123A.S2.0H	123A.NC.0H	239B.R1.0H	239B.R2.0H	239B.S1.0H	239B.S2.0H	239B.NC.0H	21B.R1.0H	21B.R2.0H	21B.S1.0H	21B.S2.0H	21B.NC.0H
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	18	51	0	55	17	0	0	0	0	32	33	19	23	31	39	26	48	27	32	55	0	0	0	0	0	0	0	0	0	0	22	46	0	124	17	0	0	14	0	15	0	0	0	0	0	0	0	0	0	0	17	42	41	26	19	0	0	0	0	0	0	0	0	0	0	13	23	0	18	0	164	224	145	145	257	266	63	71	56	199	33	118	124	78	103	48	202	156	199	260	149	408	280	288	256	83	0	13	0	22	14	20	0	0	44	12	0	22	11	0	16	0	15	2263	15	120	342	816	928	604	0	537	410	320	795	0	260	84	127	274
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	5375	8854	1254	9829	2315	239	393	135	118	7450	3533	637	3171	895	9957	23357	39735	20041	21985	7453	546	586	404	2061	294	852	776	356	143	684	66	1602	69	266	72	482	480	1082	232	3989	14	11	37	12	0	103	777	69	78	144	3018	3792	4607	965	7587	6782	24420	4808	30607	1804	182	227	331	470	120	23	46	26	39	26	1032	953	1013	964	1136	709	906	812	1059	766	1136	82	49	53	63	61	1530	1504	1673	1324	2145	118	102	113	115	124	0	297	1260	565	446	1600	675	1081	2168	1244	1470	900	367	264	354	1457	2196	2197	1863	1225	1860	1069	1271	932	10748	653	529	498	1812	0	807	670	829	1004
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	8842	27023	14225	27278	33610	18164	12841	20874	16840	23082	20649	17980	32589	23208	20477	16777	7414	8278	12865	21827	17746	9851	16538	11765	17433	22566	84078	30947	49554	36468	34282	27452	59878	58648	45445	9172	3468	12312	8991	9710	52903	42404	42239	55176	40891	55703	33611	50817	40402	44114	11059	12720	11747	12854	16066	36335	33123	40392	20231	41833	3478	10178	12544	905	10039	33190	39235	28796	34094	32713	26578	29520	30372	26469	30868	47954	24783	26093	26513	22273	55228	37808	32337	32268	40504	31577	44271	50116	45743	44812	62500	27881	23648	26301	24661	44465	0	29455	43348	37233	32020	50317	26498	35333	64875	44722	40412	37065	37795	32577	38624	30620	41486	25946	45155	27526	48924	39989	44091	39574	0	49285	38931	40995	55549	641	51666	46384	50229	61207
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales	316	607	719	497	223	435	86	237	204	0	222	25	915	48	187	248	76	94	195	217	3694	1398	4393	2937	3298	142	27	82	0	84	690	264	727	116	680	265	71	340	101	809	446	1145	505	316	441	161	251	366	244	105	6164	1248	3644	6156	4964	83	12	336	79	59	23	50	222	32	35	4184	5348	4469	3867	3737	827	894	827	838	913	2922	709	817	695	659	6676	668	489	497	643	558	1019	1255	1131	1037	1601	3220	2697	2916	2852	833	0	4786	2560	5420	467	1258	571	870	1834	1123	614	488	404	333	433	634	751	1699	673	778	1843	3561	4410	3491	0	620	518	474	1087	0	3935	4389	4076	5031
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales	92	353	55	89	0	0	0	0	0	212	668	179	420	248	705	146	0	50	93	273	134	0	37	0	935	0	0	0	0	0	0	0	0	0	0	702	0	895	53	1061	159	369	210	401	128	304	669	203	408	412	1127	0	232	16	918	122	1212	271	398	115	199	497	892	0	682	0	0	0	0	0	0	0	13	11	16	0	0	11	0	0	0	221	183	191	199	180	26	40	46	72	38	172	133	137	170	128	0	13	0	0	45	25	0	15	29	24	11	26	59	45	67	0	0	314	16	0	0	0	0	0	0	58	49	46	0	0	0	0	0	0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	16	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	0	180	0	0	0	1005	0	734	0	84	15	73	246	55	0	1933	80	407	733	1794	454	0	749	0	863	0	0	0	0	0	0	0	0	0	0	13	0	111	29	0	214	72	138	99	171	343	450	188	203	274	698	0	931	578	0	2130	0	2012	505	2320	68	221	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	0	0	0	16	0	28	0	0	0	0	0	0	11	0	0	39	0	13	26	64	0	0	0	0	0	29	0	28	0	51	0	0	0	0	0	0	0	0	0	0	31	0	209	14	22	112	0	46	0	25	0	0	0	0	0	997	0	881	0	1084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	13	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	20193	131	513	0	22	0	5951	20	0	10794	10361	5555	14913	6375	6095	5748	398	2160	3140	8431	13267	1309	8823	698	13826	14608	6448	9402	5833	20987	0	155	1960	0	14	13082	25640	13878	11654	12847	93	82	77	100	72	418	64	282	156	970	4459	2920	6505	4810	4884	366	23	256	24	376	16002	13769	18306	12743	21077	0	0	0	0	0	24	26	19	23	28	0	18	25	22	26	0	0	0	0	0	0	0	0	0	0	0	89	65	80	72	11	0	60	21	77	0	0	0	0	0	0	0	0	0	0	0	0	0	15048	0	0	0	0	0	0	0	0	0	11	0	318	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	16	0	12	0	0	0	0	0	0	77	0	0	101	0	0	0	0	0	0	0	0	104	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	32	27	24	42	0	0	0	0	0	0	0	0	0	0	41	0	20	53	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	0	0	0	0	0	0	0	0	0	1133	1103	0	2362	0	693	787	111	218	418	915	22	19	14	33	18	4549	16	2361	0	6445	9717	936	10142	0	10990	305	0	0	0	0	551	184	195	25	299	709	58	438	23	862	903	31	537	757	300	594	34	1053	64	380	55	176	0	0	331	520	641	544	474	455	0	0	0	0	0	0	0	0	0	0	0	87	88	80	92	74	671	787	818	651	991	16	0	14	0	92	0	142	63	199	0	942	334	569	1067	659	14	25	33	37	32	0	0	426	15	293	428	12	14	0	0	0	0	0	0	0	0	0	0	0
