#taxa	21B.R1.48H	21B.R2.48H	21B.S1.48H	21B.S2.48H	21B.NC.48H	21A.R1.48H	21A.R2.48H	21A.S1.48H	21A.S2.48H	21A.NC.48H	41B.R1.48H	41B.R2.48H	41B.S1.48H	41B.S2.48H	41B.NC.48H	50B.R1.48H	50B.R2.48H	50B.S1.48H	50B.S2.48H	50B.NC.48H	161A.R1.48H	161A.R2.48H	161A.S1.48H	161A.S2.48H	161A.NC.48H	123A.R1.48H	123A.R2.48H	123A.S1.48H	123A.S2.48H	123A.NC.48H	58B.R1.48H	58B.R2.48H	58B.S1.48H	58B.S2.48H	58B.NC.48H	239B.R1.48H	239B.R2.48H	239B.S1.48H	239B.S2.48H	239B.NC.48H	58A.R1.48H	58A.R2.48H	58A.S1.48H	58A.S2.48H	58A.NC.48H	41A.R1.48H	41A.R2.48H	41A.S1.48H	41A.S2.48H	41A.NC.48H	161B.R1.48H	161B.R2.48H	161B.S1.48H	161B.S2.48H	161B.NC.48H	50A.R1.48H	50A.R2.48H	50A.S1.48H	50A.S2.48H	50A.NC.48H	239A.R1.48H	239A.R2.48H	239A.S1.48H	239A.S2.48H	239A.NC.48H	161A.R1.0H	161A.R2.0H	161A.S1.0H	161A.S2.0H	161A.NC.0H	239A.R1.0H	239A.R2.0H	239A.S1.0H	239A.S2.0H	239A.NC.0H	58B.R1.0H	58B.R2.0H	58B.S1.0H	58B.S2.0H	58B.NC.0H	41A.R1.0H	41A.R2.0H	41A.S1.0H	41A.S2.0H	41A.NC.40H	50A.R1.0H	50A.R2.0H	50A.S1.0H	50A.S2.0H	50A.NC.0H	58A.R1.0H	58A.R2.0H	58A.S1.0H	58A.S2.0H	58A.NC.0H	41B.R1.0H	41B.R2.0H	41B.S1.0H	41B.S2.0H	41B.NC.0H	50B.R1.0H	50B.R2.0H	50B.S1.0H	50B.S2.0H	50B.NC.0H	161B.R2.0H	161B.R1.0H	161B.S1.0H	161B.S2.0H	161B.NC.0H	21A.R1.0H	21A.R2.0H	21A.S1.0H	21A.S2.0H	21A.NC.0H	123A.R1.0H	123A.R2.0H	123A.S1.0H	123A.S2.0H	123A.NC.0H	239B.R1.0H	239B.R2.0H	239B.S1.0H	239B.S2.0H	239B.NC.0H	21B.R1.0H	21B.R2.0H	21B.S1.0H	21B.S2.0H	21B.NC.0H
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	321	3204	7608	2430	273	3549	304	4873	692	360	1994	534	1230	8895	1487	645	0	170	296	960	671	0	1214	0	669	0	0	7062	0	0	722	0	0	0	0	855	0	3038	481	1139	1990	1655	3021	1165	1286	2340	882	4110	4213	2328	809	0	1216	2574	1388	1259	19	3339	588	1386	263	781	697	0	1795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	29	51	56	44	0	0	0	12	14	0	13	15	15	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	20	31	34	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	11	62	0	0	12	0	26	14	0	0	0	53	0	65	0	38	1528	52	0	0	0	0	0	95	89	76	99	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	16	22	25	25	0	12	0	0	0	0	0	0	0	0	26	13	14	66	19	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0	100	88	95	0	116	0	69	0	0	161	0	171	14	140	159	0	11	33	118	171	0	103	0	119	251	20	197	0	171	514	0	0	0	0	249	0	452	0	279	330	56	143	27	111	210	52	179	49	297	77	0	53	44	89	133	0	173	0	139	81	264	160	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	27	12	29	22	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Cyanobacteria;c__Cyanobacteria;o__NA;f__NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Thermales;f__Thermaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	46	0	124	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Family XI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	11	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae	18	51	0	55	17	0	0	0	0	32	33	19	23	31	39	26	48	27	32	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	15	0	0	0	0	0	0	0	0	0	0	17	42	41	26	19	0	0	0	0	0	0	0	0	0	0	13	23	0	18	0	164	224	145	145	257	266	63	71	56	199	33	118	124	78	103	48	202	156	199	260	149	391	269	288	242	83	0	13	0	22	14	20	0	0	44	12	0	22	11	0	16	0	15	0	15	120	342	816	928	604	0	537	410	320	795	0	260	84	127	274
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	5063	8489	1200	9713	2085	0	0	0	0	6832	3425	592	3089	828	9840	2997	276	1784	3047	7265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	190	817	113	3715	0	0	0	0	0	0	0	0	0	0	2975	1092	4000	460	7572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	12	27	0	0	0	86	333	0	44	618	0	0	0	0	0	0	0	0	0	0	546	188	404	228	294	610	652	188	99	444	0	0	0	0	0	0	0	11	0	18	0	0	11	0	0	0	0	0	0	0	43	1424	327	380	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	208	15	0	0	0	0	0	0	0	0	0	0	0	0	0	74	749	278	384	72	0	398	0	1833	0	0	0	0	0	0	0	1309	0	74	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1276	280	125	0	28	604	33	0	19	52	24	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1138	1122	1289	966	1637	0	0	0	0	0	0	0	0	0	0	1174	503	816	1594	924	0	0	11	0	0	0	0	157	0	0	19	53	70	57	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	28	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	69	56	52	48	69	0	67	54	57	41	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	12	0	13	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10748	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	92	323	54	116	230	153	60	135	74	0	108	45	82	67	117	20286	38710	17979	18554	116	0	0	0	0	0	242	124	168	44	240	66	293	69	192	72	128	141	226	119	243	14	11	26	12	0	103	777	69	78	144	0	0	0	0	0	6754	23816	4775	30594	1785	130	203	308	289	120	23	46	26	39	26	963	897	961	916	1067	709	839	758	1002	725	1117	82	49	53	63	61	392	382	384	358	490	118	102	113	115	124	0	297	1260	565	446	414	172	252	562	320	1470	900	356	264	354	1457	2196	1575	1863	1225	1841	1016	1201	875	0	653	529	498	1812	0	807	670	829	1004
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae	14	20	0	35	0	11	0	0	0	0	171	0	155	0	170	581	60	285	488	1158	224	0	150	0	180	0	0	0	0	0	528	17	190	0	227	0	0	12	0	0	1524	203	804	89	1380	201	15	142	14	305	18	0	0	0	109	623	0	667	41	737	0	0	12	0	0	99	94	64	76	70	0	0	0	0	0	104	0	0	0	0	156	549	420	425	511	417	352	485	399	435	562	657	665	613	627	394	0	83	174	98	76	504	226	292	675	415	225	174	235	156	249	178	275	116	280	59	142	200	164	143	0	154	122	106	302	0	88	93	65	132
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0	3733	996	14321	0	160	34	316	0	13409	1743	6980	9689	1813	1857	168	122	385	514	1023	659	4712	624	4280	1849	5195	77441	17103	43922	14178	11796	17094	25361	23784	23955	1517	18	1351	17	371	7412	5249	4615	6275	8200	8761	3738	8315	6020	14306	1174	1889	2318	1346	1920	4045	265	3962	213	8161	395	1240	0	218	512	55	60	40	68	64	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	222	214	214	187	304	738	585	675	489	11	0	47	182	138	227	204	128	148	329	174	280	328	311	228	231	154	262	1509	304	193	531	1261	1598	1341	0	269	260	260	286	101	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Defluviitaleaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	19	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	20	21	17	16	0	0	0	0	0	0	0	13	11	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	850	12	453	45	205	28	28	20	13	0	31	11	15	0	0	0	0	0	0	0	0	0	0	0	0	56	173	293	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	105	109	104	31	0	155	82	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family XI	0	505	48	950	0	223	0	82	0	714	536	0	17	0	724	0	0	0	0	0	316	0	151	0	655	61	0	57	0	186	0	0	0	0	14	1112	18	1084	25	1030	47	0	0	0	240	782	12	427	0	1932	478	0	288	75	973	12	0	0	0	0	416	1338	2203	58	1533	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	274	324	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Family XIII	0	19	0	0	0	0	0	0	0	0	47	0	179	0	26	58	0	0	60	137	96	15	68	15	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	198	0	144	17	0	0	0	18	41	0	19	0	39	0	27	64	0	11	778	797	876	516	589	78	82	71	62	64	146	75	69	60	50	180	126	90	77	117	89	93	129	100	107	168	336	302	348	383	107	0	24	69	21	0	142	70	95	168	110	97	100	138	84	90	81	110	92	156	50	100	110	120	84	0	0	0	0	103	0	107	132	136	164
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae	7131	17642	10831	9499	28323	12780	9267	17523	11451	6673	7159	7413	8902	14921	6761	7395	5615	3737	5721	8087	8771	73	10577	1146	8173	7047	3144	7313	4573	6221	17365	6544	28414	30162	16392	4829	2518	7662	7526	6541	23199	20374	23992	26814	15203	10979	10545	14294	18374	9962	5367	266	3978	7284	7359	15398	1087	16672	12898	17929	1611	4695	8496	122	6490	12064	13810	10626	11849	11866	23140	25506	26379	22817	26830	43549	21656	22576	23197	19448	48809	24111	20592	20583	25904	20104	31878	35876	32471	31286	44845	17959	15260	17034	16319	31790	0	26958	38977	33298	27535	33768	18708	24615	44194	31249	34748	30784	29244	25406	30075	27212	36527	18469	38509	19145	33197	23864	24639	23642	0	43037	34018	35836	49432	366	46579	42157	45470	55021
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__NA	0	0	0	0	0	0	0	0	0	0	0	11	572	14	18	72	108	39	57	55	991	1031	634	1229	963	0	61	0	16	1868	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	426	2058	889	703	872	58	35	56	49	64	0	0	0	0	0	3042	3845	2554	3477	3201	0	0	0	0	0	0	0	0	0	0	0	42	37	16	41	31	163	192	147	136	208	33	42	32	21	54	0	0	0	0	0	158	78	116	242	145	11	0	14	13	13	0	0	96	0	0	20	76	64	64	0	0	0	11	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	0	0	0	0	0	0	0	0	0	0	64	23	27	57	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	737	76	688	150	1139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	51	74	68	0	0	0	0	0	0	0	0	0	0	0	86	183	283	231	289	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	208	1501	41	227	121	513	153	432	182	740	4106	46	6578	84	4073	1383	330	644	1092	1893	4178	3967	2454	4953	4088	6817	1493	4037	642	9387	2227	2524	2490	1531	2760	0	0	390	0	112	18957	12279	11329	18735	14818	28756	14688	20750	9848	10115	2043	8465	3497	2631	3889	9302	31471	11559	4177	5983	88	235	302	0	208	14819	17890	12407	15901	14791	0	0	0	0	0	548	0	0	0	0	782	1151	1064	908	1300	1020	474	493	461	774	599	4900	4057	4611	3803	1064	0	619	1455	1118	942	520	251	418	641	410	1331	1068	312	257	305	1328	1914	1845	1644	2125	4837	7494	10191	7423	0	1014	902	850	2347	49	579	456	509	729
