#taxa	84B.R1.48H	84B.R2.48H	84B.S1.48H	84B.S2.48H	84B.NC.48H	73B.R1.48H	73B.R2.48H	73B.S1.48H	73B.S2.48H	73B.NC..48H	66A.R1.48H	66A.R2.48H	66A.S1.48H	66A.S2.48H	66A.NC.48H	67A.R2.48H	67A.S1.48H	67A.S2.48H	67A.NC.48H	92A.R1.48H	92A.R2.48H	92A.S1.48H	92A.S2.48H	92A.NC.48H	92B.R1.48H	92B.R2.48H	92B.S1.48H	92B.S2.48H	92B.NC.48H	66B.R1.48H	66B.R2.48H	66B.S1.48H	66B.S2.48H	66B.NC.48H	116A.R1.48H	116A.R2.48H	116A.S1.48H	116A.S2.48H	116A.NC.48H	176A.R1.48H	176A.R2.48H	176A.S1.48H	176A.S2.48H	176A.NC.48H	84A.R1.48H	84A.R2.48H	84A.S1.48H	84A.S2.48H	84A.NC.48H	73A.R1.48H	73A.R2.48H	73A.S1.48H	73A.S2.48H	73A.NC.48H	67B.R1.48H	67B.R2.48H	67B.S1.48H	67B.S2.48H	67B.NC.48H	176B.R1.48H	176B.R2.48H	176B.S1.48H	176B.S2.48H	176B.NC.48H	161A.R1.0H	161A.R2.0H	161A.S1.0H	161A.S2.0H	116A.R1.0H	116A.R2.0H	116A.S1.0H	116A.S2.0H	67A.R1.0H	67A.R2.0H	67A.S1.0H	67A.S2.0H	73B.R1.0H	73B.R2.0H	73B.S1.0H	73B.S2.0H	67B.NC.0H	92A.NC.0H	176A.NC.0H	73A.NC.0H	67B.R1.0H	67B.R2.0H	67B.S1.0H	67B.S2.0H	92A.R1.0H	92A.R2.0H	92A.S1.0H	92A.S2.0H	176A.R1.0H	176A.R2.0H	176A.S1.0H	176A.S2.0H	73A.R1.0H	73A.R2.0H	73A.S1.0H	73A.S2.0H	66B.R1.0H	66B.R2.0H	66B.S1.0H	66B.S2.0H	84B.R1.0H	84B.R2.0H	84B.S1.0H	84B.S2.0H	84B.NC.0H	66A.NC.0H	92B.NC.0H	66A.R1.0H	66A.R2.0H	66A.S1.0H	66A.S2.0H	84A.R1.0H	84A.R2.0H	84A.S1.0H	84A.S2.0H	92B.R1.0H	92B.R2.0H	92B.S1.0H	92B.S2.0H	176B.R1.0H	176B.R2.0H	176B.S1.0H	161A.NC.0H	116A.NC.0H	67A.NC.0H	73.NC.0H
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	0	69	344	0	348	0	11	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	30	51	36	34	42	25	22	27	38	39	37	30	28	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	13	23	0	18	69	109	110	48	11	11	11	13	707	661	501	292	22	204	26	190	232	14	28	27	41	183	190	209	200	15	39	0	418	163	181	239	202	99	89	112	16	0	36	25	15	133	122	26	157	216	54	178	201	110	114	130	124	85	75	117	106	103	0	165	11	741
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	2329	13966	10323	1548	9321	528	1010	499	226	87	237	39	241	268	3495	0	0	0	43	1335	3013	593	154	1483	4923	1695	1657	6259	9693	2041	1892	7657	2769	9213	17	0	15	12	83	73	41	100	78	115	134	37	38	17	37	274	172	214	29	369	1426	2974	3501	4642	6004	1220	22	734	44	1100	23	46	26	39	27	31	43	52	23	14	16	31	1995	1220	1615	1522	827	859	1057	429	878	1148	1450	1174	1690	619	705	607	695	852	1781	410	183	328	347	520	345	59	93	73	330	414	668	826	545	314	1250	1305	524	702	257	911	2137	1333	1375	1629	2031	1871	1396	1076	1432	922	26	59	26	580
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	21588	42418	33329	22280	23709	33649	42166	35213	26334	35804	60234	26181	42086	38736	41471	16100	18658	22528	17930	28361	11330	20681	8372	31128	25124	8989	8889	27795	24206	13147	6912	20400	8562	16986	21545	11632	14857	12477	30760	12128	3706	16843	9057	14463	46227	38735	38429	33211	43360	44103	49010	51798	38956	47678	18745	8042	10707	10661	33929	28950	471	33605	7251	29000	33190	39235	28796	34094	31923	35383	43787	34551	22639	19730	25258	24868	52975	40289	47905	42908	37906	13790	33442	41085	26332	37193	55711	51379	60853	11921	11116	13527	11742	36854	53122	21750	38234	39734	36112	47932	34562	44750	43043	41547	28924	66141	48939	46516	33331	39454	28751	47202	27802	42355	42296	48274	43505	30973	28238	34744	39029	36708	30716	28838	37793	29294	32713	43871	17474	51126
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales	775	3000	2413	326	1966	459	252	407	936	346	4670	2473	8300	4289	3162	2936	1355	1051	1796	587	278	235	106	643	538	401	313	571	871	12115	9431	14311	12494	8273	370	85	186	84	456	4278	196	2892	1705	2154	1162	641	791	497	1124	223	542	363	99	370	195	0	31	69	827	3293	94	1608	195	1747	4184	5348	4469	3867	298	388	630	573	1294	1379	1752	1787	1058	975	880	777	287	1785	2802	399	712	258	360	325	398	1400	1272	1468	1447	2327	4635	767	4513	334	401	496	344	756	565	589	6821	376	557	716	590	983	857	695	1833	2158	544	3048	1133	644	748	1016	1049	1025	763	754	1151	781	3737	698	1254	703
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales	3486	1063	864	1694	498	0	0	0	0	0	384	0	2321	406	544	399	226	171	410	808	0	32	0	29	0	0	0	0	0	0	0	19	0	116	0	119	0	0	172	97	0	13	0	0	1022	5414	894	2415	363	73	302	213	202	270	524	16420	734	453	382	0	0	0	0	0	0	0	0	0	104	166	200	183	0	0	0	0	0	0	0	0	0	27	0	43	0	0	17	0	14	22	17	20	29	0	0	0	216	35	40	70	55	334	221	243	19	23	38	84	49	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266	0	42
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	0	15	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	23	45	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Lentisphaerae;c__Lentisphaeria;o__Victivallales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	108	195	160	25	110	0	0	0	0	0	472	0	0	226	487	506	216	225	241	48	0	78	0	55	203	0	0	157	138	159	0	566	0	690	84	94	75	0	244	523	0	402	0	710	282	216	104	70	402	87	265	225	182	83	0	0	171	23	115	1083	11	711	64	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	0	13	0	0	17	0	0	0	0	232	287	0	0	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	13	0	0	88	0	0	0	0	0	116	13	37	0	0	231	0	19	0	0	71	0	12	23	58	127	0	70	0	107	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	15831	16409	4277	10457	4829	3464	143	3092	250	19	52	0	36	63	1728	11068	16003	9544	6097	12074	1875	7544	3219	9766	7843	1044	1350	10301	9334	2153	0	286	0	0	20984	11369	23201	20888	10081	17983	17191	14569	14003	16418	3278	737	2348	1372	1460	179	64	163	18	204	7456	210	3986	6842	10626	1327	24430	1576	36037	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21359	0	0	27	0	15	0	0	20517	19577	21223	20847	0	0	0	127	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	14	21	0	26	0	0	0	0	0	0	0	0	13	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9748	0	0	0	0	0	0	0	8718	8858	11900	9097	0	0	0	23	0	0	0	0	0	0	12	0	0	16	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	289	970	986	0	665	4057	0	4357	0	332	22	0	0	53	837	2413	3581	3106	2708	323	101	1118	47	571	1645	184	173	2685	380	63	0	24	0	0	874	57	246	28	772	0	0	0	0	0	608	21	546	156	711	558	119	924	36	881	0	0	0	0	360	460	0	121	0	661	520	641	544	474	89	118	149	87	72	55	102	96	0	0	0	0	0	0	0	41	0	0	0	16	13	0	0	0	0	0	0	0	16	23	24	61	19	146	121	79	122	12	13	12	0	0	299	33	0	0	0	0	525	298	263	330	413	481	335	397	633	431	455	126	70	0
