#taxa	84B.R1.48H	84B.R2.48H	84B.S1.48H	84B.S2.48H	84B.NC.48H	73B.R1.48H	73B.R2.48H	73B.S1.48H	73B.S2.48H	73B.NC..48H	66A.R1.48H	66A.R2.48H	66A.S1.48H	66A.S2.48H	66A.NC.48H	67A.R2.48H	67A.S1.48H	67A.S2.48H	67A.NC.48H	92A.R1.48H	92A.R2.48H	92A.S1.48H	92A.S2.48H	92A.NC.48H	92B.R1.48H	92B.R2.48H	92B.S1.48H	92B.S2.48H	92B.NC.48H	66B.R1.48H	66B.R2.48H	66B.S1.48H	66B.S2.48H	66B.NC.48H	116A.R1.48H	116A.R2.48H	116A.S1.48H	116A.S2.48H	116A.NC.48H	176A.R1.48H	176A.R2.48H	176A.S1.48H	176A.S2.48H	176A.NC.48H	84A.R1.48H	84A.R2.48H	84A.S1.48H	84A.S2.48H	84A.NC.48H	73A.R1.48H	73A.R2.48H	73A.S1.48H	73A.S2.48H	73A.NC.48H	67B.R1.48H	67B.R2.48H	67B.S1.48H	67B.S2.48H	67B.NC.48H	176B.R1.48H	176B.R2.48H	176B.S1.48H	176B.S2.48H	176B.NC.48H	161A.R1.0H	161A.R2.0H	161A.S1.0H	161A.S2.0H	116A.R1.0H	116A.R2.0H	116A.S1.0H	116A.S2.0H	67A.R1.0H	67A.R2.0H	67A.S1.0H	67A.S2.0H	73B.R1.0H	73B.R2.0H	73B.S1.0H	73B.S2.0H	67B.NC.0H	92A.NC.0H	176A.NC.0H	73A.NC.0H	67B.R1.0H	67B.R2.0H	67B.S1.0H	67B.S2.0H	92A.R1.0H	92A.R2.0H	92A.S1.0H	92A.S2.0H	176A.R1.0H	176A.R2.0H	176A.S1.0H	176A.S2.0H	73A.R1.0H	73A.R2.0H	73A.S1.0H	73A.S2.0H	66B.R1.0H	66B.R2.0H	66B.S1.0H	66B.S2.0H	84B.R1.0H	84B.R2.0H	84B.S1.0H	84B.S2.0H	84B.NC.0H	66A.NC.0H	92B.NC.0H	66A.R1.0H	66A.R2.0H	66A.S1.0H	66A.S2.0H	84A.R1.0H	84A.R2.0H	84A.S1.0H	84A.S2.0H	92B.R1.0H	92B.R2.0H	92B.S1.0H	92B.S2.0H	176B.R1.0H	176B.R2.0H	176B.S1.0H	161A.NC.0H	116A.NC.0H	67A.NC.0H	73.NC.0H
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelatoclostridium;s__sp36616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	19	33	25	0	0	17	0	25	0	0	0	0	0	0	0	0	12	28	0	27	0	0	0	0	0	0	0	0	52	86	122	77	0	14	0	0	0	0	0	27	27	30	25	28	24	12	37	50	19	0	0	0	125
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelatoclostridium;s__sp36629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	16	17	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__cylindroides	61	152	146	15	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	44	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308	225	217	196	0	18	0	0	0	0	0	0	0	17	18	11	21	0	0	0	129	0	0	0	0	0	0	0	26	47	69	75	64	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea;s__sp36732	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__biformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	26	64	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella;s__sp36738	35	294	0	0	0	0	0	0	0	0	26	0	382	19	124	2547	685	349	1586	0	0	0	0	0	0	0	0	0	0	160	29	309	30	119	0	0	0	0	0	4129	196	2750	1705	2128	0	19	0	0	0	41	331	117	26	0	0	0	0	0	121	2439	61	1119	151	993	1512	1934	1595	1415	0	0	0	0	388	393	550	526	0	0	0	0	0	0	499	0	0	0	0	0	0	0	0	0	0	295	794	89	0	0	0	0	0	63	59	61	6559	0	0	0	0	460	0	0	1083	1366	293	1859	0	0	0	0	0	0	0	0	0	0	1389	0	398	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania;s__massiliensis	90	334	180	34	147	60	0	128	0	170	66	0	0	30	0	0	0	0	0	0	0	0	0	0	22	0	0	14	0	0	0	42	0	27	33	24	16	0	93	0	0	0	0	0	52	22	18	15	24	32	0	42	11	25	20	0	0	14	0	81	0	34	0	63	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__NA;s__sp36682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2053	2620	2213	1811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1776	0	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__NA;s__sp36685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__NA;s__sp36686-sp36689	194	458	384	80	366	0	0	0	0	39	0	0	0	0	0	0	0	0	0	316	96	140	30	327	81	120	91	97	180	19	14	0	0	0	204	49	111	84	109	0	0	0	0	13	260	122	137	59	216	0	0	0	0	0	0	0	0	0	300	638	33	375	44	576	0	0	0	0	298	388	618	561	0	0	0	0	15	0	17	0	209	941	550	298	664	202	276	245	291	833	664	730	785	373	930	186	2320	262	313	382	265	693	506	528	0	0	0	0	0	510	644	219	734	775	251	1149	824	427	563	733	738	743	576	468	747	565	0	698	0	0
