feature,metadata,value,name,coef,null_hypothesis,stderr,pval_individual,qval_individual,pval_joint,qval_joint,error,model,N,N_not_zero
Lachnospira,obesity_group,obesity,obesity_groupobesity,3.2174941487310917,0,1.4439518159197164,0.025863455515681432,0.31099984084271187,0.05105799270015123,0.356007099785986,NA,logistic,289,27
Terrisporobacter,obesity_group,obesity,obesity_groupobesity,-1.7747943011850948,0,0.7979591562582641,0.02613722066656834,0.31099984084271187,0.012066201628794557,0.12534074753176389,NA,logistic,289,135
Phascolarctobacterium,timepoint,48H,timepoint48H,2.3031655769836625,0,1.0413498079676755,0.02698659004481346,0.3128740633762838,0.0532449040473801,0.3605971398381945,NA,logistic,289,55
f__Ruminococcaceae,obesity_group,obesity,obesity_groupobesity,-1.4483323969049353,0,0.6597184868833359,0.02813639127485554,0.3148596166471929,0.05548112603573931,0.36204991220758087,NA,logistic,289,274
Eubacterium,carbohydrate,RDC,carbohydrateRDC,-10.905776222010727,0,5.066753244435634,0.03136436437966857,0.3360362695278203,0.06174500540639652,0.38800256483772627,NA,logistic,289,269
Clostridium,timepoint,48H,timepoint48H,2.449376828617822,0,1.1669421468407424,0.035819524931112165,0.370003883903796,1.6780888423449032e-6,8.541472207535557e-5,NA,logistic,289,239
Subdoligranulum,timepoint,48H,timepoint48H,11.231651977974982,0,5.4573096789514,0.039581186992939374,0.39581186992939377,0.07759570362210873,0.4516752957710074,NA,logistic,289,281
Eubacterium,timepoint,48H,timepoint48H,-10.43259043475849,0,5.096971610954473,0.04067562627144951,0.39913578613914563,0.07969674597032439,0.4516752957710074,NA,logistic,289,269
Paenibacillus,obesity_group,obesity,obesity_groupobesity,0.5892800443273933,0,0.2880248658721524,0.040762803690806364,0.39913578613914563,0.07986400121687753,0.4516752957710074,NA,logistic,289,155
Coprobacillus,timepoint,48H,timepoint48H,2.875145958162245,0,1.43397864925035,0.04496164797849675,0.43054382359991716,0.08790174616805124,0.47993769013069915,NA,logistic,289,23
Ruminococcus,timepoint,48H,timepoint48H,-1.373118694979884,0,0.703121667716471,0.05083272843812296,0.4639103372022872,0.09908149059578199,0.5199224609613715,NA,logistic,289,163
