parameter,entity,estimate,std.error,p.val.adj,s_var,engine
carbohydrateRDC,Actinomyces,-1.3487030160261073,1.2204020496275239,0.7101862666547119,0.25,blmm
carbohydrateSDC,Actinomyces,-0.11206184255573784,1.2234594482745917,1,0.25,blmm
timepoint48H,Actinomyces,-3.20621112829282,1.3725391068420978,0.4734096286884457,0.25,blmm
obesity_groupobesity,Actinomyces,-0.8225926754299335,0.8080058558763649,0.8652815361849143,0.25,blmm
carbohydrateRDC:timepoint48H,Actinomyces,3.185338042141381,1.6534407501557837,0.4055027968957361,0.25,blmm
carbohydrateSDC:timepoint48H,Actinomyces,1.332038487388017,1.6517218790764685,0.9111534099829058,0.25,blmm
carbohydrateRDC,Adlercreutzia,-0.7780007500539575,1.3981263119365055,0.7910238806253035,0.25,blmm
carbohydrateSDC,Adlercreutzia,-0.4432438250806788,1.4015702826174306,1,0.25,blmm
timepoint48H,Adlercreutzia,-1.6123916835743308,1.5730709694971137,0.9551052605902564,0.25,blmm
obesity_groupobesity,Adlercreutzia,-2.958778666725293,1.0925305251418198,0.22349656486444477,0.25,blmm
carbohydrateRDC:timepoint48H,Adlercreutzia,1.4377899598157187,1.894112841217231,0.6683256118189105,0.25,blmm
carbohydrateSDC:timepoint48H,Adlercreutzia,1.3575488453814455,1.8921162297166425,0.9126826111711397,0.25,blmm
carbohydrateRDC,Akkermansia,0.1534602072202837,1.4800754135352332,0.9553945678440671,0.25,blmm
carbohydrateSDC,Akkermansia,1.0544348490348763,1.483639270680364,1,0.25,blmm
timepoint48H,Akkermansia,6.963327683566087,1.6663850644875606,3.935216905232225e-4,0.25,blmm
obesity_groupobesity,Akkermansia,-0.29795550711441604,1.6758489197324393,1,0.25,blmm
carbohydrateRDC:timepoint48H,Akkermansia,-0.2706832776280569,2.0049907032903937,0.9643423693191021,0.25,blmm
carbohydrateSDC:timepoint48H,Akkermansia,-1.8929204410936495,2.00283518545586,1,0.25,blmm
carbohydrateRDC,Alistipes,-0.6717786123180698,1.3822196293680669,0.821010134396264,0.25,blmm
carbohydrateSDC,Alistipes,0.15719164768180424,1.385733087011275,1,0.25,blmm
timepoint48H,Alistipes,9.729978717561671,1.5540345173919818,1.9885518994525752e-7,0.25,blmm
obesity_groupobesity,Alistipes,-0.610021072910705,0.817660821792604,0.9353097078092654,0.25,blmm
carbohydrateRDC:timepoint48H,Alistipes,0.3930112032851406,1.87278263807093,0.8744451812876061,0.25,blmm
carbohydrateSDC:timepoint48H,Alistipes,-0.10388504838707185,1.8708581474985095,0.9836205148613965,0.25,blmm
carbohydrateRDC,Anaerostipes,-1.0929508411017639,1.3013457711583132,0.7134982300982782,0.25,blmm
carbohydrateSDC,Anaerostipes,0.03524135050460958,1.3045452582403851,1,0.25,blmm
timepoint48H,Anaerostipes,-2.812642144772165,1.4642510482568543,0.6726374014175993,0.25,blmm
obesity_groupobesity,Anaerostipes,-1.083667380261035,1.0356635212327816,0.8845382502001224,0.25,blmm
carbohydrateRDC:timepoint48H,Anaerostipes,1.6959283258888034,1.7629877378421879,0.5659774049784525,0.25,blmm
carbohydrateSDC:timepoint48H,Anaerostipes,1.7820084053281144,1.7611264307011598,0.8933976710546789,0.25,blmm
carbohydrateRDC,Anaerotruncus,-0.4004114707989808,1.3507600487093878,0.8650057459990164,0.25,blmm
carbohydrateSDC,Anaerotruncus,0.4029956309382575,1.3540239696740146,1,0.25,blmm
timepoint48H,Anaerotruncus,6.7636129528409095,1.5206212485835742,2.2271409521088542e-4,0.25,blmm
obesity_groupobesity,Anaerotruncus,-1.1357497718826373,1.4167720579885223,0.9458757499692195,0.25,blmm
carbohydrateRDC:timepoint48H,Anaerotruncus,-0.9395141611917224,1.829831828031135,0.9914504743562517,0.25,blmm
carbohydrateSDC:timepoint48H,Anaerotruncus,-1.2625745087911044,1.8278707341053806,0.998876007188986,0.25,blmm
carbohydrateRDC,Bacteroides,-0.5852318193937324,1.401101213005239,0.8369346191986281,0.25,blmm
carbohydrateSDC,Bacteroides,0.04436068971780572,1.4045759188922262,1,0.25,blmm
timepoint48H,Bacteroides,14.08098388665732,1.576142228644504,4.8238323058225063e-14,0.25,blmm
obesity_groupobesity,Bacteroides,-0.5086351668834022,1.0152773334845306,0.9814888613340762,0.25,blmm
carbohydrateRDC:timepoint48H,Bacteroides,1.2380558501074654,1.8981872805581377,0.7072771115791358,0.25,blmm
carbohydrateSDC:timepoint48H,Bacteroides,0.7554577454962714,1.8961976644323006,0.9474034718684817,0.25,blmm
carbohydrateRDC,Bifidobacterium,-1.1656085072826874,1.111465799096291,0.7064618251521337,0.25,blmm
carbohydrateSDC,Bifidobacterium,0.1330734720974961,1.114295029876041,1,0.25,blmm
timepoint48H,Bifidobacterium,0.26836987607150836,1.24957767232185,0.9991158330782031,0.25,blmm
obesity_groupobesity,Bifidobacterium,-0.8408088616441688,0.6452230331230168,0.8138166373741933,0.25,blmm
carbohydrateRDC:timepoint48H,Bifidobacterium,4.316423836297224,1.5059431023084449,0.22046229369499945,0.25,blmm
carbohydrateSDC:timepoint48H,Bifidobacterium,3.2602644794924425,1.5043975272142627,0.6841605453394017,0.25,blmm
