feature,effect,maaslin_coef,maaslin_q,maaslin_joint_q,aldex_est,aldex_q,ancom_lfc,ancom_se,ancom_q,dir_maaslin,dir_aldex,dir_ancom,concordant_maaslin_aldex,concordant_all3
Other,obesity_groupobesity,1.114650575172817,0.7750299084346873,0.8377788498778611,-0.44792620260299326,0.983921060382816,-0.1757251584615622,0.27910401538698293,0.984922689747989,1,-1,-1,FALSE,FALSE
Peptococcus,obesity_groupobesity,4.735080306796588,0.7750299084346873,0.8377788498778611,NA,NA,0.7104015223817995,0.7012234656274261,0.984922689747989,1,NA,1,FALSE,FALSE
Peptoniphilus,carbohydrateSDC:timepoint48H,5.698350744678494,0.7750299084346873,0.838915484989437,NA,NA,-0.359713585830504,1.251270325044316,0.8667580237422499,1,NA,-1,FALSE,FALSE
Solobacterium,carbohydrateRDC:timepoint48H,5.529964819998747,0.7750299084346873,0.8377788498778611,NA,NA,0.21981438013835575,0.8428730003853471,0.8840826073108405,1,NA,1,FALSE,FALSE
Blautia,obesity_groupobesity,0.6190136815532001,0.7858750532584254,0.6573119259572299,-0.08545766173592083,1,0.22006577261431046,0.2880688127410483,0.984922689747989,1,-1,1,FALSE,FALSE
f__Defluviitaleaceae,carbohydrateRDC:timepoint48H,2.3577859569387205,0.7903030949075822,0.8627825599519173,NA,NA,-0.20846590513837882,0.3406400497507765,0.71449970178108,1,NA,-1,FALSE,FALSE
Faecalitalea,obesity_groupobesity,1.1861616959903831,0.7903030949075822,0.865550273268001,NA,NA,0.332490318911884,0.42679605879355625,0.984922689747989,1,NA,1,FALSE,FALSE
f__Coriobacteriaceae,carbohydrateRDC:timepoint48H,2.7688922148016832,0.7931125037066246,0.8675317713382021,1.6207565620884663,0.630505744829326,0.430979205878911,0.5429796584153825,0.602481790218624,1,1,1,TRUE,TRUE
Alistipes,timepoint48H,2.742222003153625,0.797895959431209,1.6229138382439526e-4,9.729978717561671,1.9885518994525755e-7,1.7237007498187327,0.6766677629853509,0.06969119353056072,1,1,1,TRUE,TRUE
Collinsella,obesity_groupobesity,1.1143470078364626,0.8006980492249359,0.8770115394723557,0.805189577814633,1,0.3898821169490817,0.5941588648977821,0.984922689747989,1,1,1,TRUE,TRUE
f__Lachnospiraceae,carbohydrateSDC:timepoint48H,1.5891963411886938,0.8006980492249359,0.8770115394723557,1.0343045501690615,0.9145953095074776,-0.4557884445768571,0.3692012253805619,0.4679904587725748,1,1,-1,TRUE,FALSE
Holdemanella,carbohydrateSDC:timepoint48H,3.270520510831,0.8006980492249359,0.8770115394723557,2.784919980490193,0.8365238965038158,-0.37478838306416096,0.6245354973200224,0.7584890556281446,1,1,-1,TRUE,FALSE
Actinomyces,obesity_groupobesity,0.6696289215450367,0.8203467285084257,0.900983315964842,-0.8225926754299335,0.8652815361849143,0.07471780973137802,0.28217147245853647,0.984922689747989,1,-1,1,FALSE,FALSE
Streptococcus,obesity_groupobesity,0.9566135283191668,0.8203467285084257,0.8923285564544978,0.1684806251505576,1,0.38017706114629746,0.5113620978701746,0.984922689747989,1,1,1,TRUE,TRUE
