feature,effect,maaslin_coef,maaslin_q,maaslin_joint_q,aldex_est,aldex_q,ancom_lfc,ancom_se,ancom_q,dir_maaslin,dir_aldex,dir_ancom,concordant_maaslin_aldex,concordant_all3
Anaerostipes,obesity_groupobesity,-0.14965432654802038,0.9999981164156956,0.999976442700979,-1.083667380261035,0.8845382502001224,-0.3262292172858389,0.35095906504443203,0.984922689747989,-1,-1,-1,TRUE,TRUE
Anaerotruncus,carbohydrateRDC:timepoint48H,1.3050552372733355,0.9999981164156956,0.22481495595640075,-0.9395141611917224,0.9914504743562516,1.2142114933179213,0.6183581693799549,0.15368619223614766,1,-1,1,FALSE,FALSE
Anaerotruncus,carbohydrateSDC:timepoint48H,1.7416734430123948,0.9999981164156956,0.28675009346506736,-1.2625745087911044,0.998876007188986,1.452293867014319,0.6164096455908131,0.08801960685037764,1,-1,1,FALSE,FALSE
Anaerotruncus,obesity_groupobesity,-0.4302749982657716,0.9999981164156956,0.999976442700979,-1.1357497718826373,0.9458757499692196,-0.41554229428852385,0.5560832379120847,0.984922689747989,-1,-1,-1,TRUE,TRUE
Anaerotruncus,timepoint48H,1.554080698099631,0.9999981164156956,0.00210407862462756,6.7636129528409095,2.2271409521088545e-4,1.2747003664422045,0.6510256693603379,0.18675462230556394,1,1,1,TRUE,TRUE
Bacteroides,carbohydrateSDC:timepoint48H,1.0252057842179203,0.9999981164156956,0.999976442700979,0.7554577454962714,0.9474034718684816,3.839426104576714,0.5528444597631665,7.90867942814119e-9,1,1,1,TRUE,TRUE
Bacteroides,obesity_groupobesity,-0.15876338104925436,0.9999981164156956,0.999976442700979,-0.5086351668834022,0.9814888613340762,-0.09723188563313077,0.5389682082824827,0.984922689747989,-1,-1,-1,TRUE,TRUE
Bifidobacterium,obesity_groupobesity,-0.3743120825634222,0.9999981164156956,0.999976442700979,-0.8408088616441688,0.8138166373741933,-0.442183410840503,0.4464795433878714,0.984922689747989,-1,-1,-1,TRUE,TRUE
Bifidobacterium,timepoint48H,0.293564238388772,0.9999981164156956,0.999976442700979,0.26836987607150836,0.9991158330782032,-1.0069438284010228,0.47776274372253597,0.1599871414080943,1,1,-1,TRUE,FALSE
Bilophila,carbohydrateRDC:timepoint48H,1.5041020452440017,0.9999981164156956,0.999976442700979,NA,NA,2.1932048592805464,0.904877206525371,0.08109017894935643,1,NA,1,FALSE,FALSE
Bilophila,carbohydrateSDC:timepoint48H,0.7127836487256543,0.9999981164156956,0.999976442700979,NA,NA,1.770011790344327,0.9105475386501439,0.19374241677863085,1,NA,1,FALSE,FALSE
Bilophila,timepoint48H,1.3930168614167242,0.9999981164156956,0.10489497362789486,NA,NA,1.8219921059120097,0.9337303109125404,0.19098834718658705,1,NA,1,FALSE,FALSE
Blautia,timepoint48H,-0.22841462192587944,0.9999981164156956,0.999976442700979,-0.3038439394806882,1,-1.4384094693741056,0.3839182464508625,0.0021980443909039842,-1,-1,-1,TRUE,TRUE
Catenibacterium,obesity_groupobesity,-0.26037218902360365,0.9999981164156956,0.900983315964842,NA,NA,0.4942473934424054,0.9318935174826144,0.984922689747989,-1,NA,1,FALSE,FALSE
Clostridium,obesity_groupobesity,-0.21741855509875452,0.9999981164156956,0.999976442700979,-0.2872637070150083,1,-0.3107952757069503,0.5516419113061449,0.984922689747989,-1,-1,-1,TRUE,TRUE
Coprobacillus,carbohydrateRDC:timepoint48H,0.5412728130241782,0.9999981164156956,0.999976442700979,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
Coprobacillus,obesity_groupobesity,0.7349065507933209,0.9999981164156956,0.999976442700979,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
Coprococcus,obesity_groupobesity,0.2498497475620595,0.9999981164156956,0.824378019428919,-1.20175812032443,0.8457357772506687,-0.11961983768865087,0.42126499102711334,0.984922689747989,1,-1,-1,FALSE,FALSE
Coprococcus,timepoint48H,0.27080672853339344,0.9999981164156956,0.8627825599519173,-0.23557911714749416,0.9998203199605256,-0.43786794382693284,0.4515379641386579,0.6200285646260789,1,-1,-1,FALSE,FALSE
Dialister,obesity_groupobesity,1.0521977123066983,0.9999981164156956,0.999976442700979,-1.060896122310114,0.9510785014290392,-0.2809154306451197,0.49711797323282525,0.984922689747989,1,-1,-1,FALSE,FALSE
Dialister,timepoint48H,0.3310884372583084,0.9999981164156956,0.824378019428919,0.42305211262848447,0.9658408087469884,-0.089613824927285,0.6156389253377705,1,1,1,-1,TRUE,FALSE
Dorea,obesity_groupobesity,-0.2318964482288956,0.9999981164156956,0.999976442700979,-1.286770921113731,0.7840824696701552,-0.4799509187816188,0.30715621231297874,0.984922689747989,-1,-1,-1,TRUE,TRUE
Eisenbergiella,carbohydrateRDC:timepoint48H,1.8033886569237696,0.9999981164156956,0.999976442700979,NA,NA,-1.3913345289574774,0.6969943386519656,0.1575222500970246,1,NA,-1,FALSE,FALSE
Eisenbergiella,timepoint48H,-2.078429985552335,0.9999981164156956,0.18014622037409533,NA,NA,-1.0292302003834344,0.730413205085295,0.36447587244616675,-1,NA,-1,FALSE,FALSE
Enterococcus,carbohydrateRDC:timepoint48H,2.364250953241157,0.9999981164156956,0.999976442700979,NA,NA,-1.7010921090274747,1.3408772159061986,0.44657415471426937,1,NA,-1,FALSE,FALSE
Enterococcus,obesity_groupobesity,-0.9758996575270242,0.9999981164156956,0.999976442700979,NA,NA,-0.019473706548850528,0.8905874084090848,0.9942846871926483,-1,NA,-1,FALSE,FALSE
Enterococcus,timepoint48H,0.537616768492488,0.9999981164156956,0.2473157359559809,NA,NA,-2.94803695561277,1.4069053569294785,0.17371219466562324,1,NA,-1,FALSE,FALSE
Enterorhabdus,carbohydrateSDC:timepoint48H,0.2706211859172952,0.9999981164156956,0.999976442700979,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
Enterorhabdus,timepoint48H,0.6243016655424768,0.9999981164156956,0.999976442700979,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
Erysipelatoclostridium,carbohydrateRDC:timepoint48H,0.09034337429975228,0.9999981164156956,0.999976442700979,1.1953445588853624,0.7109901671514894,0.9789861046488512,0.4267972305108051,0.09039330479386735,1,1,1,TRUE,TRUE
Erysipelatoclostridium,carbohydrateSDC:timepoint48H,0.14038193444123256,0.9999981164156956,0.999976442700979,0.8941558931781904,0.9421837545947116,1.095937499453614,0.4253424619601826,0.056564512924935056,1,1,1,TRUE,TRUE
Erysipelatoclostridium,obesity_groupobesity,0.613671005481521,0.9999981164156956,0.999976442700979,0.4295591787983888,1,0.3352323933524699,0.39301704734856996,0.984922689747989,1,1,1,TRUE,TRUE
Escherichia,obesity_groupobesity,-0.7629724433257752,0.9999981164156956,0.999976442700979,-0.291896368320526,0.9999599917306188,-0.5521155862998384,0.8015622237886018,0.984922689747989,-1,-1,-1,TRUE,TRUE
Eubacterium,obesity_groupobesity,0.02340301963536211,0.9999981164156956,0.7055967542022221,-1.144709266460918,0.7826708850270978,-0.31984319055533145,0.3499805289411093,0.984922689747989,1,-1,-1,FALSE,FALSE
f__Christensenellaceae,carbohydrateRDC:timepoint48H,0.8532147795255615,0.9999981164156956,0.999976442700979,0.9512504697442912,0.7535495739359567,-0.6899044688340045,0.3555747557204752,0.15368619223614766,1,1,-1,TRUE,FALSE
f__Coriobacteriaceae,obesity_groupobesity,-0.5786463405551567,0.9999981164156956,0.8923285564544978,-1.07101451293142,0.9279851404078796,-0.04241542853881952,0.5534548916134713,0.984922689747989,-1,-1,-1,TRUE,TRUE
f__Defluviitaleaceae,carbohydrateSDC:timepoint48H,0.6479372732592028,0.9999981164156956,0.999976442700979,NA,NA,0.19512363900529658,0.3395427520978184,0.7741393323444742,1,NA,1,FALSE,FALSE
f__Defluviitaleaceae,obesity_groupobesity,0.4207732582941,0.9999981164156956,0.999976442700979,NA,NA,0.19242471019395563,0.3852000978996652,0.984922689747989,1,NA,1,FALSE,FALSE
f__Defluviitaleaceae,timepoint48H,-0.495904635885239,0.9999981164156956,0.999976442700979,NA,NA,0.390357118272906,0.38690593401877443,0.6200285646260789,-1,NA,1,FALSE,FALSE
f__Erysipelotrichaceae,carbohydrateRDC:timepoint48H,0.08256993659760437,0.9999981164156956,0.999976442700979,0.6949191479185091,0.828747781593608,-1.8000838837815198,0.35696916103720394,2.3625299800103103e-5,1,1,-1,TRUE,FALSE
f__Erysipelotrichaceae,obesity_groupobesity,0.33435796659349143,0.9999981164156956,0.999976442700979,-0.4832640291743896,0.999942550493062,-0.06835561712317022,0.3997753132550372,0.984922689747989,1,-1,-1,FALSE,FALSE
f__Erysipelotrichaceae,timepoint48H,-0.1744672887596541,0.9999981164156956,0.999976442700979,-0.01621250982399187,0.9992144751211788,-1.5100200440844185,0.4199567491455777,0.0036018360263812463,-1,-1,-1,TRUE,TRUE
f__Family.XIII,carbohydrateRDC:timepoint48H,0.7685888447900598,0.9999981164156956,0.999976442700979,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
f__Family.XIII,obesity_groupobesity,-0.33811899029462894,0.9999981164156956,0.1394013270289033,NA,NA,NA,NA,NA,-1,NA,NA,FALSE,FALSE
f__Family.XIII,timepoint48H,0.6090302261027641,0.9999981164156956,0.0786342573761078,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
f__Lachnospiraceae,carbohydrateRDC:timepoint48H,0.9325453480956376,0.9999981164156956,0.999976442700979,1.6406772303569417,0.5400503002863329,-0.8530314610806794,0.3652337748897987,0.08109017894935643,1,1,-1,TRUE,FALSE
f__Lachnospiraceae,obesity_groupobesity,-0.05296133820873922,0.9999981164156956,0.999976442700979,-0.4453048356679972,0.978860294700132,-0.19086891577930057,0.36116497731001584,0.984922689747989,-1,-1,-1,TRUE,TRUE
f__Prevotellaceae,obesity_groupobesity,1.0757846278753267,0.9999981164156956,0.999976442700979,NA,NA,-0.40489579916869695,0.5304140916715375,0.984922689747989,1,NA,-1,FALSE,FALSE
f__Prevotellaceae,timepoint48H,1.3087183355424097,0.9999981164156956,0.999976442700979,NA,NA,1.1225618967132043,0.8441674729085474,0.39062368666270453,1,NA,1,FALSE,FALSE
f__Ruminococcaceae,carbohydrateRDC:timepoint48H,-0.1700444836457383,0.9999981164156956,0.999976442700979,0.4745415913567904,0.8811835102153893,-0.6152687511495737,0.35618693204373814,0.2201488024190914,-1,1,-1,FALSE,FALSE
f__Ruminococcaceae,carbohydrateSDC:timepoint48H,0.7606067673640778,0.9999981164156956,0.999976442700979,-0.0581296106802353,0.9989899091444538,-0.3547597102771742,0.35905212828872995,0.5401113881567909,1,-1,-1,FALSE,FALSE
Faecalibacterium,timepoint48H,0.6566450792882198,0.9999981164156956,0.999976442700979,0.17756030839345777,0.9977386119387548,-0.7755338037591722,0.5565800121795971,0.36447587244616675,1,1,-1,TRUE,FALSE
Faecalitalea,carbohydrateRDC:timepoint48H,-1.1399796806232811,0.9999981164156956,0.999976442700979,NA,NA,-1.1296258488204904,0.5307698121170616,0.1307524510393584,-1,NA,-1,FALSE,FALSE
Faecalitalea,carbohydrateSDC:timepoint48H,-1.6580090090019632,0.9999981164156956,0.999976442700979,NA,NA,-1.4883165994913106,0.5094460756925691,0.026987329130224422,-1,NA,-1,FALSE,FALSE
Finegoldia,carbohydrateSDC:timepoint48H,1.909616464134413,0.9999981164156956,0.999976442700979,NA,NA,2.953628366240303,0.9367088286734215,0.02224281938828044,1,NA,1,FALSE,FALSE
Fusicatenibacter,carbohydrateRDC:timepoint48H,1.1375320844861727,0.9999981164156956,0.999976442700979,2.6563677267805574,0.4617535577374844,-1.97649382850969,0.45493498693719664,2.070566897705516e-4,1,1,-1,TRUE,FALSE
Fusicatenibacter,obesity_groupobesity,0.20078307293625208,0.9999981164156956,0.824378019428919,1.0147061170823253,1,-0.07891415238262992,0.41447360220595453,0.984922689747989,1,1,-1,TRUE,FALSE
Gordonibacter,carbohydrateRDC:timepoint48H,0.2084031986563344,0.9999981164156956,0.999976442700979,2.06028935488853,0.5531527353819774,-0.02689451338006263,0.3158628951701213,0.9813796802050005,1,1,-1,TRUE,FALSE
Gordonibacter,carbohydrateSDC:timepoint48H,-0.34737380289368375,0.9999981164156956,0.999976442700979,2.053750484045855,0.8764448901896287,0.04728468194387213,0.3183599807329466,0.9270760630349334,-1,1,1,FALSE,FALSE
Gordonibacter,obesity_groupobesity,0.3235756032905457,0.9999981164156956,0.900983315964842,-1.6096340994057925,0.7849605603162942,0.04710454725108911,0.2524068235056324,0.984922689747989,1,-1,1,FALSE,FALSE
Holdemanella,carbohydrateRDC:timepoint48H,1.701795266757776,0.9999981164156956,0.824378019428919,4.093330989195869,0.3818749350826719,-0.6899360578697663,0.6292294751371112,0.5034562870372711,1,1,-1,TRUE,FALSE
Holdemanella,obesity_groupobesity,0.935819662338998,0.9999981164156956,0.999976442700979,0.45500541616307416,1,0.4780682136629659,0.8697104554733153,0.984922689747989,1,1,1,TRUE,TRUE
Holdemanella,timepoint48H,1.201604338397477,0.9999981164156956,0.999976442700979,1.8282933038547424,0.6399992111541827,-0.35269218975237654,0.7313627184234909,1,1,1,-1,TRUE,FALSE
Holdemania,obesity_groupobesity,0.15741452594853195,0.9999981164156956,0.999976442700979,-0.05919706375709555,0.9949390799771116,0.11450282582027473,0.42317926076805673,0.984922689747989,1,-1,1,FALSE,FALSE
Hungatella,carbohydrateRDC:timepoint48H,0.62899625249706,0.9999981164156956,0.999976442700979,NA,NA,-0.6092316763614396,1.0220814705832875,0.71449970178108,1,NA,-1,FALSE,FALSE
Hungatella,carbohydrateSDC:timepoint48H,0.9629409459373492,0.9999981164156956,0.999976442700979,NA,NA,-0.4643194833046553,1.0059488314766714,0.7834450112218676,1,NA,-1,FALSE,FALSE
Hungatella,obesity_groupobesity,2.1717054432226672,0.9999981164156956,0.999976442700979,NA,NA,-0.7487412469984144,0.6432448632246676,0.984922689747989,1,NA,-1,FALSE,FALSE
Intestinibacter,obesity_groupobesity,-0.192771102157494,0.9999981164156956,0.5580100338449901,-1.865070307456476,0.8077435174373742,0.10735739778907681,0.4829064534621498,0.984922689747989,-1,-1,1,TRUE,FALSE
Lachnoclostridium,carbohydrateRDC:timepoint48H,0.3158755411893904,0.9999981164156956,0.999976442700979,0.43554984881100506,0.8889295682318676,-0.020743289080105778,0.36720304997166825,0.9922018210901652,1,1,-1,TRUE,FALSE
Lachnoclostridium,carbohydrateSDC:timepoint48H,0.2204369277581305,0.9999981164156956,0.999976442700979,-0.1570195482648399,0.9991022691597377,-0.2778090399421873,0.368914493440045,0.6994611397559239,1,-1,-1,FALSE,FALSE
Lachnospira,carbohydrateRDC:timepoint48H,-1.5154632029584432,0.9999981164156956,0.999976442700979,NA,NA,NA,NA,NA,-1,NA,NA,FALSE,FALSE
Lachnospira,carbohydrateSDC:timepoint48H,-0.6534168610514258,0.9999981164156956,0.999976442700979,NA,NA,NA,NA,NA,-1,NA,NA,FALSE,FALSE
Lactobacillus,obesity_groupobesity,-0.03877724218228353,0.9999981164156956,0.999976442700979,NA,NA,-0.1978319843299545,0.8525948973375742,0.984922689747989,-1,NA,-1,FALSE,FALSE
Lactococcus,timepoint48H,-0.5192936783329237,0.9999981164156956,0.04528342048885339,-1.920403226374899,0.8903387773145286,-0.7789315069519541,0.462850246745635,0.2502305849059519,-1,-1,-1,TRUE,TRUE
Marvinbryantia,obesity_groupobesity,-0.33099277050031967,0.9999981164156956,0.999976442700979,0.13304933250755405,1,-0.29022650996141985,0.3978145631011352,0.984922689747989,-1,1,-1,FALSE,FALSE
Methanobrevibacter,carbohydrateRDC:timepoint48H,2.182503879291367,0.9999981164156956,0.9380649629902746,NA,NA,-0.8468916234332635,0.8237819415274195,0.5267447447998395,1,NA,-1,FALSE,FALSE
Methanobrevibacter,timepoint48H,1.2670273779426162,0.9999981164156956,0.999976442700979,NA,NA,-0.751364640867378,0.7891217547667774,0.6295084203065413,1,NA,-1,FALSE,FALSE
o__Clostridiales,obesity_groupobesity,-0.9832975000492788,0.9999981164156956,0.999976442700979,-0.6366476255158251,0.9999599917306188,-0.07013003364017645,0.6812369863957755,0.984922689747989,-1,-1,-1,TRUE,TRUE
o__Clostridiales,timepoint48H,-0.15138800317934922,0.9999981164156956,0.999976442700979,1.5965481916193311,0.6698268576451647,-0.30478637801132236,0.5792768478214145,0.9997140745787064,-1,1,-1,FALSE,FALSE
Other,carbohydrateRDC:timepoint48H,0.7346504579479696,0.9999981164156956,0.999976442700979,2.1574200290423917,0.5221093780440771,6.653162292189138e-4,0.35274934491700194,0.9984993243450201,1,1,1,TRUE,TRUE
Paenibacillus,obesity_groupobesity,0.1981130056298276,0.9999981164156956,0.4516752957710074,0.7595826004959301,1,0.10824309409115707,0.46802066377260026,0.984922689747989,1,1,1,TRUE,TRUE
Paeniclostridium,obesity_groupobesity,-0.7632834065847801,0.9999981164156956,0.999976442700979,NA,NA,NA,NA,NA,-1,NA,NA,FALSE,FALSE
Parabacteroides,carbohydrateSDC:timepoint48H,1.7660883101840652,0.9999981164156956,0.999976442700979,1.0566976511297814,0.9354729298520528,4.053411178690333,0.683873834851167,6.655498564927711e-7,1,1,1,TRUE,TRUE
Parabacteroides,obesity_groupobesity,-0.02268658894315413,0.9999981164156956,0.940866899275942,-1.2481509327500535,0.8561667782955954,0.024499797717431132,0.38860508264433613,0.984922689747989,-1,-1,1,TRUE,FALSE
Parvimonas,carbohydrateRDC:timepoint48H,-2.148392228913712,0.9999981164156956,0.999976442700979,NA,NA,NA,NA,NA,-1,NA,NA,FALSE,FALSE
Parvimonas,carbohydrateSDC:timepoint48H,-0.4117128084588521,0.9999981164156956,0.999976442700979,NA,NA,NA,NA,NA,-1,NA,NA,FALSE,FALSE
Peptoclostridium,obesity_groupobesity,-1.4849051656183891,0.9999981164156956,0.8223576274531329,NA,NA,NA,NA,NA,-1,NA,NA,FALSE,FALSE
Peptoclostridium,timepoint48H,2.1304604409961083,0.9999981164156956,0.9171227386292328,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
Peptoniphilus,carbohydrateRDC:timepoint48H,0.2802846325477654,0.9999981164156956,0.999976442700979,NA,NA,0.04961380524740343,1.2364194434762523,0.9929708407518919,1,NA,1,FALSE,FALSE
Phascolarctobacterium,carbohydrateRDC:timepoint48H,-0.1415268149819889,0.9999981164156956,0.999976442700979,NA,NA,1.9002027453794432,0.6209864280206816,0.020370693166583752,-1,NA,1,FALSE,FALSE
Phascolarctobacterium,obesity_groupobesity,0.7763759282767125,0.9999981164156956,0.999976442700979,NA,NA,0.152500862081,0.4362023847632962,0.984922689747989,1,NA,1,FALSE,FALSE
Prevotella,obesity_groupobesity,0.5806869003924496,0.9999981164156956,0.999976442700979,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
Romboutsia,timepoint48H,0.23630136262583976,0.9999981164156956,0.999976442700979,0.5204908286832809,0.979434430975166,-0.9631739696192776,0.47443451382609986,0.17371219466562324,1,1,-1,TRUE,FALSE
Roseburia,carbohydrateRDC:timepoint48H,-0.05683803923334792,0.9999981164156956,0.999976442700979,2.3695336673826843,0.5236782532680999,0.07161288126167789,0.426922944887258,0.9247606505688237,-1,1,1,FALSE,FALSE
Roseburia,carbohydrateSDC:timepoint48H,0.725186187548464,0.9999981164156956,0.940866899275942,0.3734791371158808,0.9659639286522944,0.10591619549049365,0.4359154708098219,0.8857574743847673,1,1,1,TRUE,TRUE
Ruminiclostridium,carbohydrateRDC:timepoint48H,0.3415848492338465,0.9999981164156956,0.999976442700979,1.64605789896775,0.6289164436763669,-0.1345213454722377,0.37018009577005884,0.8296663980806357,1,1,-1,TRUE,FALSE
Ruminococcus,carbohydrateRDC:timepoint48H,-0.8457043153580928,0.9999981164156956,0.999976442700979,2.411197335761053,0.5387297382841357,-1.9221624420393284,0.5242491505599497,0.002479654023816879,-1,1,-1,FALSE,FALSE
Ruminococcus,carbohydrateSDC:timepoint48H,0.22504465234890852,0.9999981164156956,0.999976442700979,1.2824324020575464,0.9313056651502912,-1.949260796040502,0.5332079112057274,0.0031491019926207318,1,1,-1,TRUE,FALSE
Ruminococcus,obesity_groupobesity,0.4590565969166851,0.9999981164156956,0.1530601678975099,-3.971545361270592,0.29576179092716526,0.12831606023314548,0.5445276608302808,0.984922689747989,1,-1,1,FALSE,FALSE
Ruminococcus,timepoint48H,-0.7236054898826229,0.9999981164156956,0.5199224609613715,-2.041258312780821,0.9569082550562408,-1.4325844279323998,0.6007012243353211,0.09181296181221263,-1,-1,-1,TRUE,TRUE
Sarcina,carbohydrateRDC:timepoint48H,0.7040099670982758,0.9999981164156956,0.999976442700979,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
Sarcina,carbohydrateSDC:timepoint48H,-1.0102273005044151,0.9999981164156956,0.999976442700979,NA,NA,NA,NA,NA,-1,NA,NA,FALSE,FALSE
Sarcina,obesity_groupobesity,-0.8632013191133735,0.9999981164156956,0.999976442700979,NA,NA,NA,NA,NA,-1,NA,NA,FALSE,FALSE
Senegalimassilia,obesity_groupobesity,0.5884678745140267,0.9999981164156956,0.999976442700979,-0.3576215038853384,1,0.15658757669687104,0.570590715719896,0.984922689747989,1,-1,1,FALSE,FALSE
Slackia,carbohydrateRDC:timepoint48H,-0.17250657062452243,0.9999981164156956,0.768987234496543,0.19415276107928972,0.8725137032335067,0.5360325491769453,0.4815233502768741,0.5034562870372711,-1,1,1,FALSE,FALSE
Slackia,carbohydrateSDC:timepoint48H,0.5794488034437004,0.9999981164156956,0.999976442700979,0.6266820764784735,0.942794201449264,0.28779252459196897,0.47133245128725404,0.7584890556281446,1,1,1,TRUE,TRUE
Slackia,obesity_groupobesity,-0.0537032997169133,0.9999981164156956,0.940866899275942,-1.2128221028618809,0.962189649132714,-0.29457936509805294,0.4107042413166197,0.984922689747989,-1,-1,-1,TRUE,TRUE
Solobacterium,timepoint48H,0.6942276520034476,0.9999981164156956,0.999976442700979,NA,NA,-0.05485199221711858,0.9733989967850507,1,1,NA,-1,FALSE,FALSE
Streptococcus,timepoint48H,0.20264786481250355,0.9999981164156956,0.11322991121003968,-0.8002338185416585,1,-0.8524914151791121,0.5212281597366639,0.2502305849059519,1,-1,-1,FALSE,FALSE
Subdoligranulum,carbohydrateRDC:timepoint48H,0.8492785785469547,0.9999981164156956,0.999976442700979,1.9575392676918133,0.5085963562839547,-0.32582747796610523,0.3523837765078218,0.5477089138805102,1,1,-1,TRUE,FALSE
Subdoligranulum,obesity_groupobesity,0.4771311430433928,0.9999981164156956,0.9192032057787732,0.5581203514417161,1,0.18303288346321075,0.4313949206629785,0.984922689747989,1,1,1,TRUE,TRUE
Succiniclasticum,obesity_groupobesity,-0.06904244672009055,0.9999981164156956,0.999976442700979,NA,NA,-0.22636003788543665,0.7815667258708748,0.984922689747989,-1,NA,-1,FALSE,FALSE
Terrisporobacter,carbohydrateRDC:timepoint48H,1.100629091602688,0.9999981164156956,0.999976442700979,1.5124253784763992,0.637401220181447,-0.5288412745362036,0.41087350683537727,0.43369009389145224,1,1,-1,TRUE,FALSE
Terrisporobacter,timepoint48H,0.16646234159234727,0.9999981164156956,0.999976442700979,0.9301068666309936,0.8758625121028342,-0.944511413314255,0.4675461403222319,0.17387938126627692,1,1,-1,TRUE,FALSE
Turicibacter,timepoint48H,-0.3030124089705316,0.9999981164156956,0.999976442700979,0.00146750045501066,0.997665305152928,-0.9483826950209768,0.4816537135500321,0.1835576103299255,-1,1,-1,FALSE,FALSE
Tyzzerella,timepoint48H,1.6826321257943984,0.9999981164156956,0.999976442700979,NA,NA,NA,NA,NA,1,NA,NA,FALSE,FALSE
Varibaculum,carbohydrateRDC:timepoint48H,-1.0853157253651935,0.9999981164156956,0.999976442700979,NA,NA,NA,NA,NA,-1,NA,NA,FALSE,FALSE
Varibaculum,carbohydrateSDC:timepoint48H,-0.5060282458382231,0.9999981164156956,0.999976442700979,NA,NA,NA,NA,NA,-1,NA,NA,FALSE,FALSE
Acetanaerobacterium,carbohydrateRDC:timepoint48H,NA,NA,NA,NA,NA,0.12915364563583628,0.30061914555160746,0.8095824305960925,NA,NA,1,FALSE,FALSE
Acetanaerobacterium,carbohydrateSDC:timepoint48H,NA,NA,NA,NA,NA,0.1590378443275889,0.3057142660202884,0.7810783984839001,NA,NA,1,FALSE,FALSE
Acetanaerobacterium,obesity_groupobesity,NA,NA,NA,NA,NA,0.09581459604236113,0.32906566591830216,0.984922689747989,NA,NA,1,FALSE,FALSE
Acetanaerobacterium,timepoint48H,NA,NA,NA,NA,NA,0,0.4681175019057118,1,NA,NA,0,FALSE,FALSE
Anaerofilum,carbohydrateRDC:timepoint48H,NA,NA,NA,NA,NA,-0.14888521426691703,0.35869897686645175,0.8095824305960925,NA,NA,-1,FALSE,FALSE
Anaerofilum,carbohydrateSDC:timepoint48H,NA,NA,NA,NA,NA,0.045319308531560284,0.3793980017420856,0.9292864643955792,NA,NA,1,FALSE,FALSE
Anaerofilum,obesity_groupobesity,NA,NA,NA,NA,NA,-0.05615653971433378,0.4433020451036207,0.984922689747989,NA,NA,-1,FALSE,FALSE
Anaerofilum,timepoint48H,NA,NA,NA,NA,NA,0,0.4681175019057118,1,NA,NA,0,FALSE,FALSE
Asaccharospora,carbohydrateRDC:timepoint48H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
Asaccharospora,carbohydrateSDC:timepoint48H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
Asaccharospora,obesity_groupobesity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
Asaccharospora,timepoint48H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
Barnesiella,carbohydrateRDC:timepoint48H,NA,NA,NA,NA,NA,0.10044376629355893,0.36380069378177526,0.8840826073108405,NA,NA,1,FALSE,FALSE
Barnesiella,carbohydrateSDC:timepoint48H,NA,NA,NA,NA,NA,0.07564552393729414,0.377750088324626,0.8982712641329255,NA,NA,1,FALSE,FALSE
Barnesiella,obesity_groupobesity,NA,NA,NA,NA,NA,-0.5219056738687649,0.6566533225504525,0.984922689747989,NA,NA,-1,FALSE,FALSE
Barnesiella,timepoint48H,NA,NA,NA,NA,NA,0,0.4681175019057118,1,NA,NA,0,FALSE,FALSE
Butyricimonas,carbohydrateRDC:timepoint48H,NA,NA,0.999976442700979,NA,NA,-0.363330439827047,0.3621054231625036,0.5477089138805102,NA,NA,-1,FALSE,FALSE
Butyricimonas,carbohydrateSDC:timepoint48H,NA,NA,0.999976442700979,NA,NA,-0.1957133159439841,0.36266310370673277,0.7783542090187425,NA,NA,-1,FALSE,FALSE
Butyricimonas,obesity_groupobesity,NA,NA,0.8923285564544978,NA,NA,-0.052461243515113054,0.40011207962080925,0.984922689747989,NA,NA,-1,FALSE,FALSE
Butyricimonas,timepoint48H,NA,NA,0.999976442700979,NA,NA,0,0.4681175019057118,1,NA,NA,0,FALSE,FALSE
c__Mollicutes,carbohydrateRDC:timepoint48H,NA,NA,0.999976442700979,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
c__Mollicutes,carbohydrateSDC:timepoint48H,NA,NA,0.999976442700979,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
c__Mollicutes,obesity_groupobesity,NA,NA,0.9380649629902746,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
c__Mollicutes,timepoint48H,NA,NA,0.999976442700979,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
Carnobacterium,carbohydrateRDC:timepoint48H,NA,NA,NA,NA,NA,-0.8658265294904685,0.4090018473491117,0.1365615262197416,NA,NA,-1,FALSE,FALSE
