contrast,mean_diff,sd,n_donors,t_stat,pvalue,ci95_low,ci95_high
RDC_vs_NC_delta_log10_load,0.7074121043774851,1.0435239284428754,14,2.5364954781506115,0.024818385724710054,0.16078084225877465,1.2540433664961956
SDC_vs_NC_delta_log10_load,0.37319123383645775,0.8659918862793146,14,1.612432817081946,0.13086887607865513,-0.08044305750920372,0.8268255251821193
SDC_vs_RDC_delta_log10_load,-0.20899050098157207,1.0246472486725495,15,-0.7899467166537446,0.44273389637059757,-0.7275335536814538,0.3095525517183097
