file	reads.in	reads.out
zr24558_121V3V4_R1.fastq.gz	72056	71571
zr24558_122V3V4_R1.fastq.gz	89592	88905
zr24558_123V3V4_R1.fastq.gz	65931	65406
zr24558_124V3V4_R1.fastq.gz	85932	85239
zr24558_125V3V4_R1.fastq.gz	71932	71357
zr24558_126V3V4_R1.fastq.gz	78396	77783
zr24558_127V3V4_R1.fastq.gz	58310	57809
zr24558_128V3V4_R1.fastq.gz	64744	64232
zr24558_129V3V4_R1.fastq.gz	55357	54985
zr24558_130V3V4_R1.fastq.gz	69601	69071
zr24558_131V3V4_R1.fastq.gz	63843	63395
zr24558_132V3V4_R1.fastq.gz	66207	65718
zr24558_133V3V4_R1.fastq.gz	79464	78675
zr24558_134V3V4_R1.fastq.gz	84466	83730
zr24558_135V3V4_R1.fastq.gz	59924	59455
zr24558_136V3V4_R1.fastq.gz	78753	78104
zr24558_137V3V4_R1.fastq.gz	74782	74167
zr24558_138V3V4_R1.fastq.gz	74026	73550
zr24558_139V3V4_R1.fastq.gz	78142	77591
zr24558_140V3V4_R1.fastq.gz	70570	69947
zr24558_141V3V4_R1.fastq.gz	75050	74443
zr24558_142V3V4_R1.fastq.gz	78152	77475
zr24558_143V3V4_R1.fastq.gz	55319	54939
zr24558_144V3V4_R1.fastq.gz	68020	67450
zr24558_145V3V4_R1.fastq.gz	58540	58033
zr24558_146V3V4_R1.fastq.gz	72935	72442
zr24558_147V3V4_R1.fastq.gz	74648	73984
zr24558_148V3V4_R1.fastq.gz	55795	55301
zr24558_149V3V4_R1.fastq.gz	67672	67118
zr24558_150V3V4_R1.fastq.gz	70692	70169
zr24558_151V3V4_R1.fastq.gz	65491	64941
zr24558_152V3V4_R1.fastq.gz	56678	56082
zr24558_153V3V4_R1.fastq.gz	60501	59970
zr24558_154V3V4_R1.fastq.gz	67613	67107
zr24558_155V3V4_R1.fastq.gz	64221	63750
zr24558_156V3V4_R1.fastq.gz	64432	64068
zr24558_157V3V4_R1.fastq.gz	64293	63813
zr24558_158V3V4_R1.fastq.gz	64208	63664
zr24558_159V3V4_R1.fastq.gz	55783	55591
zr24558_160V3V4_R1.fastq.gz	56838	56412
zr24558_161V3V4_R1.fastq.gz	93982	93063
zr24558_162V3V4_R1.fastq.gz	68426	67913
zr24558_163V3V4_R1.fastq.gz	75385	74750
zr24558_164V3V4_R1.fastq.gz	62146	61719
zr24558_165V3V4_R1.fastq.gz	63795	63289
zr24558_166V3V4_R1.fastq.gz	63699	63161
zr24558_167V3V4_R1.fastq.gz	69103	68388
zr24558_168V3V4_R1.fastq.gz	75956	75256
zr24558_169V3V4_R1.fastq.gz	70665	70040
zr24558_170V3V4_R1.fastq.gz	63924	63433
zr24558_171V3V4_R1.fastq.gz	72833	72060
zr24558_172V3V4_R1.fastq.gz	59586	59031
zr24558_173V3V4_R1.fastq.gz	61715	61191
zr24558_174V3V4_R1.fastq.gz	80164	79384
zr24558_175V3V4_R1.fastq.gz	64187	63757
zr24558_176V3V4_R1.fastq.gz	76586	75940
zr24558_177V3V4_R1.fastq.gz	69561	69070
zr24558_178V3V4_R1.fastq.gz	66947	66317
zr24558_179V3V4_R1.fastq.gz	58235	57703
zr24558_180V3V4_R1.fastq.gz	64324	63753
zr24558_181V3V4_R1.fastq.gz	74211	73610
zr24558_182V3V4_R1.fastq.gz	71470	70764
zr24558_183V3V4_R1.fastq.gz	59939	59500
zr24558_184V3V4_R1.fastq.gz	81027	80306
zr24558_185V3V4_R1.fastq.gz	77959	77147
zr24558_186V3V4_R1.fastq.gz	54650	54281
zr24558_187V3V4_R1.fastq.gz	84092	83346
zr24558_188V3V4_R1.fastq.gz	62926	62474
zr24558_189V3V4_R1.fastq.gz	72210	71533
zr24558_190V3V4_R1.fastq.gz	73462	72885
zr24558_191V3V4_R1.fastq.gz	82543	81894
zr24558_192V3V4_R1.fastq.gz	81469	80942
zr24558_193V3V4_R1.fastq.gz	72864	72305
zr24558_194V3V4_R1.fastq.gz	56899	56497
zr24558_195V3V4_R1.fastq.gz	61527	61033
zr24558_196V3V4_R1.fastq.gz	59785	59347
zr24558_197V3V4_R1.fastq.gz	50880	50441
zr24558_198V3V4_R1.fastq.gz	60233	59684
