#taxa	21B.R1.48H	21B.R2.48H	21A.R1.48H	21A.R2.48H	41B.R1.48H	41B.R2.48H	50B.R1.48H	50B.R2.48H	161A.R1.48H	161A.R2.48H	123A.R1.48H	123A.R2.48H	58B.R1.48H	58B.R2.48H	123B.R1.48H	123B.R2.48H	239B.R1.48H	239B.R2.48H	58A.R1.48H	58A.R2.48H	137A.R1.48H	41A.R1.48H	41A.R2.48H	161B.R1.48H	161B.R2.48H	50A.R1.48H	50A.R2.48H	239A.R1.48H	239A.R2.48H	21B.S1.48H	21B.S2.48H	21A.S1.48H	21A.S2.48H	41B.S1.48H	41B.S2.48H	50B.S1.48H	50B.S2.48H	161A.S1.48H	161A.S2.48H	123A.S1.48H	123A.S2.48H	58B.S1.48H	58B.S2.48H	123B.S1.48H	123B.S2.48H	239B.S1.48H	239B.S2.48H	58A.S1.48H	58A.S2.48H	137A.S1.48H	137A.S2.48H	41A.S1.48H	41A.S2.48H	161B.S1.48H	161B.S2.48H	50A.S1.48H	50A.S2.48H	239A.S1.48H	239A.S2.48H
k__Archaea;p__Euryarchaeota	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	65	74	0	99	0	0	0	0	0	0	0	0	0	86	0	0	0	229	0	0	0	0	0	0	0	0	0	0	0	65	0	34	0	99	16	0	0	0	0
k__Bacteria;p__Actinobacteria	16707	8760	16759	16825	8282	16191	6630	22793	18727	34653	3356	2211	2564	61143	4074	7931	13159	30115	1192	8950	6771	5059	13609	20707	34639	3317	6964	25662	21089	14089	4843	13654	16649	13477	21098	12088	13577	11900	39475	3339	3092	2820	27521	2799	4005	20605	25000	1155	2325	6322	39975	5760	8786	17398	30858	4131	6596	22266	36059
k__Bacteria;p__Bacteroidetes	13833	16209	13448	19022	3907	2411	3362	54	2074	0	22605	7197	9731	0	15494	6289	6881	0	7803	4829	3878	10704	4497	3605	27	9837	209	1760	5182	20881	11936	9021	18247	7205	11950	843	1476	2157	11	19703	1162	0	0	10040	4299	11392	1925	6394	2856	5519	398	11662	6815	3569	3961	10101	3437	4875	0
k__Bacteria;p__Firmicutes	14643	36888	18838	13320	25105	18840	40554	47273	22120	11835	23560	84881	35060	29364	40232	59838	10621	4019	53522	43929	31025	56271	35308	21385	17802	43322	58767	3882	10952	16253	37748	21246	17162	37118	24430	28490	35170	21372	16763	31385	49697	60674	59154	27244	34335	14643	9377	42991	55905	35330	23411	51455	41132	20271	20017	45807	51315	13989	1407
k__Bacteria;p__Proteobacteria	20193	311	1033	5951	10376	5628	7720	478	13721	1309	14637	6448	0	155	9323	10542	13095	25640	338	154	458	873	514	5157	2920	3493	23	16070	13990	513	16	754	0	15170	6430	2580	3899	9572	698	9430	5833	1960	0	10392	5978	13989	11683	424	213	283	153	516	359	7436	5388	3149	529	18306	12743
k__Bacteria;p__Verrucomicrobia	0	0	0	0	1103	0	787	111	22	19	4549	16	9717	936	6952	189	305	0	551	184	507	709	58	903	31	594	34	55	176	0	0	0	0	2362	0	218	418	14	33	2361	0	10142	0	2265	170	0	0	195	25	1140	91	438	23	537	757	1053	64	0	0
