#taxa	21B.R1.48H	21B.R2.48H	21A.R1.48H	21A.R2.48H	41B.R1.48H	41B.R2.48H	50B.R1.48H	50B.R2.48H	161A.R1.48H	161A.R2.48H	123A.R1.48H	123A.R2.48H	58B.R1.48H	58B.R2.48H	123B.R1.48H	123B.R2.48H	239B.R1.48H	239B.R2.48H	58A.R1.48H	58A.R2.48H	137A.R1.48H	41A.R1.48H	41A.R2.48H	161B.R1.48H	161B.R2.48H	50A.R1.48H	50A.R2.48H	239A.R1.48H	239A.R2.48H	21B.S1.48H	21B.S2.48H	21A.S1.48H	21A.S2.48H	41B.S1.48H	41B.S2.48H	50B.S1.48H	50B.S2.48H	161A.S1.48H	161A.S2.48H	123A.S1.48H	123A.S2.48H	58B.S1.48H	58B.S2.48H	123B.S1.48H	123B.S2.48H	239B.S1.48H	239B.S2.48H	58A.S1.48H	58A.S2.48H	137A.S1.48H	137A.S2.48H	41A.S1.48H	41A.S2.48H	161B.S1.48H	161B.S2.48H	50A.S1.48H	50A.S2.48H	239A.S1.48H	239A.S2.48H
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	13512	12905	9783	18718	1752	1877	2520	54	1232	0	22354	7177	8495	0	15069	6268	5777	0	5483	3118	2573	8154	3551	2719	27	8360	190	1416	4137	13185	9411	4079	17555	5804	3041	642	1116	840	0	12444	1162	0	0	8441	4283	7902	1444	3219	1602	3458	253	7373	2527	2300	1290	6528	1321	4018	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__NA;g__NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Barnesiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	187	12	53	20	0	0	0	0	0	0	37	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	120	0	109	26	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Butyricimonas	0	0	0	0	14	0	0	0	59	0	0	0	0	0	0	0	0	0	20	0	0	136	0	49	0	0	0	0	0	0	0	0	0	68	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	57	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Odoribacter	0	0	44	0	0	0	25	0	11	0	0	0	147	0	0	0	0	0	82	0	73	14	0	11	0	102	0	0	0	0	0	38	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	49	0	87	0	14	0	0	0	97	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	321	3204	3505	304	1980	534	620	0	601	0	0	0	575	0	18	0	810	0	1701	1643	1021	2170	882	749	0	1157	19	263	744	7608	2430	4835	692	1151	8895	170	296	1173	0	7062	0	0	0	0	0	2918	481	2863	1139	1836	145	4001	4213	1159	2574	3242	588	697	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__NA	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	65	0	0	0	0	0	0	0	0	0	20	31	0	11	0	0	0	0	0	0	0	0	11	62	0	0	0	26	0	27	38	1071	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	457	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0	100	116	0	161	0	159	0	171	0	251	20	514	0	407	21	249	0	312	23	142	210	52	77	0	133	0	81	264	88	95	69	0	171	14	11	33	103	0	197	0	0	0	1599	16	452	0	121	15	123	0	179	49	53	44	173	0	160	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	33	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	12	15	0	0	0	0	0	0	0	0	0
