#taxa	21B.R1.48H	21B.R2.48H	21A.R1.48H	21A.R2.48H	41B.R1.48H	41B.R2.48H	50B.R1.48H	50B.R2.48H	161A.R1.48H	161A.R2.48H	123A.R1.48H	123A.R2.48H	58B.R1.48H	58B.R2.48H	123B.R1.48H	123B.R2.48H	239B.R1.48H	239B.R2.48H	58A.R1.48H	58A.R2.48H	137A.R1.48H	41A.R1.48H	41A.R2.48H	161B.R1.48H	161B.R2.48H	50A.R1.48H	50A.R2.48H	239A.R1.48H	239A.R2.48H	21B.S1.48H	21B.S2.48H	21A.S1.48H	21A.S2.48H	41B.S1.48H	41B.S2.48H	50B.S1.48H	50B.S2.48H	161A.S1.48H	161A.S2.48H	123A.S1.48H	123A.S2.48H	58B.S1.48H	58B.S2.48H	123B.S1.48H	123B.S2.48H	239B.S1.48H	239B.S2.48H	58A.S1.48H	58A.S2.48H	137A.S1.48H	137A.S2.48H	41A.S1.48H	41A.S2.48H	161B.S1.48H	161B.S2.48H	50A.S1.48H	50A.S2.48H	239A.S1.48H	239A.S2.48H
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Marvinbryantia	0	18	89	13	13	0	49	47	103	0	0	0	0	0	0	0	0	0	0	0	0	0	11	38	0	43	0	0	0	23	73	47	16	14	0	0	23	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	49	36	52	22	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__NA	86	1665	900	36	1158	616	1167	148	1104	12	170	26	3549	1239	146	63	803	0	1156	1936	748	2091	1408	475	26	2298	19	101	385	497	769	696	89	1834	595	145	311	669	0	132	0	9113	13	277	40	1132	1682	2515	2876	513	153	708	614	536	668	2246	1623	1006	16
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Robinsoniella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1032	225	22	307	0	0	0	93	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1461	108	20	0	379	21	0	0	104	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia	143	102	116	29	29	13	25	14	16	0	302	30	599	64	83	288	107	0	299	145	0	0	19	13	0	37	0	118	423	246	17	48	0	31	53	0	40	0	11	89	0	597	175	140	218	44	248	150	133	0	0	11	20	0	21	29	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Tyzzerella	0	0	23	0	106	0	0	0	0	0	34	0	137	13	18	0	0	0	73	0	0	0	0	11	0	0	0	23	54	24	15	0	0	17	0	0	0	0	0	15	0	158	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	122	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__NA;g__Alkaliphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__NA;g__NA	0	0	0	0	0	11	72	108	991	1031	0	0	0	23	0	0	0	0	0	0	0	0	0	426	2058	58	35	0	0	0	0	0	0	505	14	39	57	634	1229	0	0	0	0	0	0	0	0	0	0	0	0	25	0	889	703	56	49	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__NA;g__Sarcina	0	0	0	0	0	0	0	0	0	0	0	61	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Peptococcus	0	0	0	0	64	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	737	76	0	0	0	0	0	0	0	0	0	0	27	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	688	150	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Asaccharospora	0	1135	343	0	0	0	0	0	0	0	0	0	0	0	630	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Asaccharospora-Intestinibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Intestinibacter	0	0	0	0	4083	27	1333	221	0	0	2745	331	1492	589	2120	72	0	0	26	25	12	38	21	0	29	116	77	72	189	0	0	0	0	5076	68	597	1029	0	19	1496	36	1869	243	1762	67	390	0	16	35	0	28	43	36	0	0	124	78	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Paeniclostridium	0	0	0	0	0	0	0	0	0	0	0	0	549	1266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	382	921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Paraclostridium-Peptoclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	672	0	0	0	18874	12222	13912	28698	14650	108	0	9129	31363	0	0	0	0	0	0	78	0	0	0	0	0	67	0	0	0	0	0	0	0	11269	18654	14171	18917	20687	9812	0	0	11381	4070	302	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Romboutsia	208	366	170	153	23	19	35	90	4178	3967	4072	1162	186	632	3919	2386	0	0	57	32	106	20	17	1935	8436	42	31	0	0	41	227	155	182	1090	16	30	52	2454	4934	2474	606	239	350	3391	1227	0	0	44	46	110	301	20	0	3497	2619	54	29	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Terrisporobacter	0	0	0	0	0	0	15	19	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	260	0	17	11	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__*Soleaferrea	0	69	97	0	12	0	29	0	0	0	153	62	0	0	185	13	0	0	27	65	30	19	0	28	0	22	0	0	0	28	54	44	0	0	0	0	14	0	0	94	0	0	0	90	0	0	0	28	0	14	0	12	0	0	0	19	0	44	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Acetanaerobacterium	0	12	15	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	14	0	0	0	0	0	0	0	0	15	0	0	16	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	11	0	24	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerofilum	0	0	18	0	22	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	13	0	19	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus	0	0	13	0	78	0	242	13	0	0	0	0	0	0	0	0	19	0	0	0	32	194	0	0	0	865	0	0	0	0	0	0	0	141	0	96	184	0	0	0	0	0	0	0	0	15	0	0	0	0	0	40	0	22	33	710	0	15	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus-Ruminiclostridium	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Eubacterium	0	0	0	0	0	0	0	0	0	0	0	0	54	21	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium	840	1027	1756	2900	532	2131	491	625	55	0	127	1421	0	197	672	6431	21	472	167	2655	235	580	1396	0	0	527	104	0	0	737	352	938	4349	731	1764	391	484	40	28	296	270	1433	2225	644	3554	122	754	298	1123	155	79	596	1162	0	30	681	1626	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Flavonifractor	21	953	1116	0	84	0	225	0	22	0	1375	110	838	65	293	43	0	0	19	45	79	109	31	46	0	126	0	0	0	354	843	537	13	388	0	95	135	0	0	698	0	428	0	245	31	0	0	24	26	88	0	83	0	0	0	157	19	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Hydrogenoanaerobacterium	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Intestinimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	31	0	21	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	15	0	0	19	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__NA	87	919	599	38	838	13	898	164	1229	0	1178	0	430	38	282	23	107	0	258	132	801	863	155	283	0	1833	28	48	174	396	489	482	166	1284	281	319	624	914	0	973	0	413	0	1087	0	275	12	366	135	930	107	1308	1361	226	176	2205	358	229	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Pseudoflavonifractor	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium	12	34	27	0	28	0	0	24	29	0	184	86	259	13	163	89	182	72	159	158	439	161	207	45	0	49	0	68	248	13	39	34	0	246	0	14	21	99	0	143	18	79	0	110	36	254	119	141	96	442	0	144	190	47	46	123	81	169	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus	0	0	0	0	271	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	60	21	14	0	0	0	512	1638	0	0	0	0	144	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	23	63	31	0	0	0	0	29	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Subdoligranulum	529	589	821	449	4839	1306	5235	353	1069	53	429	260	785	893	822	620	535	358	1005	1185	1027	3217	2705	794	42	3434	133	284	410	781	413	472	679	3396	4191	2273	3471	827	114	233	113	834	946	561	393	681	493	579	1855	1066	193	3641	3252	482	530	3562	769	688	507
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__*Stoquefichus	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium	281	294	102	86	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	133	199	125	160	0	0	25	31	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	16	67	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	136	13	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma	0	34	0	0	16	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	35	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	19	0	0	0	16	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelatoclostridium	0	0	0	0	11	0	0	0	0	0	0	0	107	0	0	0	0	0	201	91	185	39	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	45	0	0	0	61	66	211	88	268	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalitalea	0	17	0	0	0	0	0	0	0	0	0	0	55	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	19	14	0	0	0	0	0	0	0	0	0	0	11	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemanella	0	0	0	0	23	0	0	0	2271	498	0	0	0	0	0	0	0	0	57	890	1261	54	202	2512	113	11	0	0	0	0	0	0	0	328	0	0	0	2689	242	0	0	0	0	0	0	0	0	101	100	725	168	18	189	1995	2803	16	0	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania	19	186	268	0	31	0	0	0	0	0	117	27	0	0	64	0	16	0	54	30	36	22	0	21	0	19	0	0	0	455	259	88	20	19	0	0	0	0	0	69	0	0	0	46	0	30	0	15	0	47	0	31	13	0	0	14	0	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__NA	16	61	65	0	41	0	237	46	383	299	25	0	467	55	0	0	164	71	0	0	11	13	11	159	210	30	0	23	50	33	25	24	13	97	20	69	164	376	1746	13	0	535	0	14	0	268	101	103	110	0	0	14	0	137	622	31	0	206	32
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium	0	0	0	0	0	0	0	0	989	515	0	0	0	0	0	28	24	0	0	57	0	0	22	3420	810	0	12	0	0	0	0	0	0	0	0	0	0	1289	584	0	0	0	0	0	14	0	0	19	0	0	15	0	14	1437	2642	245	12	0	0
k__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter	0	15	0	0	100	25	11	17	51	86	0	0	41	188	0	0	0	0	54	77	25	33	16	17	115	11	0	0	0	0	0	0	11	449	28	0	0	39	88	0	0	74	116	0	0	0	0	70	27	13	44	35	28	56	35	14	0	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Phascolarctobacterium	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	159	252	106	88	176	0	0	82	0	0	0	0	0	0	0	104	0	50	75	0	0	0	0	0	0	0	0	0	0	194	401	54	102	107	83	0	0	160	303	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Succiniclasticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Dialister	0	0	0	0	573	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	23	0	0	0	0	0	0	0	0	0	0	150	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	170	0	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megasphaera	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	14	253	0	0	0	1212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	179	0	21	0	0	79	49	0	0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Negativicoccus	76	353	0	0	95	0	66	0	134	0	0	0	0	0	19	0	702	0	0	59	0	122	217	1127	0	40	0	199	497	55	89	0	0	166	14	0	18	37	0	0	0	0	0	167	0	895	53	0	0	0	0	61	134	232	16	32	46	892	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Parasutterella	0	180	1005	0	15	0	0	0	0	0	0	0	0	0	0	0	13	0	214	72	0	90	70	122	0	13	0	68	221	0	0	734	0	0	0	0	0	0	0	0	0	0	0	0	0	111	29	118	86	0	0	144	35	0	0	85	0	0	0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella	0	0	0	0	0	73	1933	80	454	0	0	0	0	0	0	0	0	0	0	0	17	253	380	576	0	2117	0	0	0	0	0	0	0	246	55	407	733	749	0	0	0	0	0	0	0	0	0	20	13	15	0	44	168	931	578	1927	505	0	0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	0	0	28	0	0	0	39	0	0	0	29	0	0	0	84	0	0	0	31	0	81	112	0	0	0	997	0	0	0	0	16	0	0	11	0	13	26	0	0	28	0	0	0	28	0	0	0	209	14	0	0	46	0	0	0	881	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Citrobacter	0	0	0	0	0	0	0	0	0	0	7003	598	0	0	533	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3987	1100	0	0	0	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Enterobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	733	1591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	1069	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia	20193	131	0	5951	10361	5555	5748	398	13267	1309	7605	5850	0	155	7973	8285	13082	25640	93	82	360	418	64	4459	2920	366	23	16002	13769	513	0	20	0	14913	6375	2160	3140	8823	698	5415	4733	1960	0	10072	4484	13878	11654	77	100	268	153	282	156	6505	4810	256	24	18306	12743
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia	0	0	0	0	1103	0	787	111	22	19	4549	16	9717	936	6952	189	305	0	551	184	507	709	58	903	31	594	34	55	176	0	0	0	0	2362	0	218	418	14	33	2361	0	10142	0	2265	170	0	0	195	25	1140	91	438	23	537	757	1053	64	0	0
